figure,series,metric,value,source
pollution,main,fem_change_k32_to_k64_percent,81.395618239964023,results/helmholtz_pollution_gap6 + pollution_server
pollution,main,lod_change_k32_to_k64_percent,6.7078238537472856,results/helmholtz_pollution_gap6 + pollution_server
pollution,main,fem_over_lod_at_k64,30.56298905516956,results/helmholtz_pollution_gap6 + pollution_server
pollution,strict,fem_change_k32_to_k64_percent,81.395618240404715,results/helmholtz_pollution + pollution_server
pollution,strict,lod_change_k32_to_k64_percent,-14.532763955077266,results/helmholtz_pollution + pollution_server
pollution,strict,fem_over_lod_at_k64,66.710770466846512,results/helmholtz_pollution + pollution_server
manufactured_convergence,fine_fem,energy_fitted_rate,0.99714496131789265,results/helmholtz_manufactured/validation.csv
manufactured_convergence,fine_fem,l2_fitted_rate,1.9502620370927448,results/helmholtz_manufactured/validation.csv
manufactured_convergence,lod_ell_2,energy_fitted_rate,1.4169499736624309,results/helmholtz_manufactured/validation.csv
manufactured_convergence,lod_ell_2,l2_fitted_rate,2.5624024203071465,results/helmholtz_manufactured/validation.csv
manufactured_convergence,lod_ell_3,energy_fitted_rate,1.4232070135367898,results/helmholtz_manufactured/validation.csv
manufactured_convergence,lod_ell_3,l2_fitted_rate,2.5725559963555242,results/helmholtz_manufactured/validation.csv
