case,epoch,iteration,stage,mesh_role,filename,N_cells,N_dofs
S,0,0,epoch_start,reference,mesh_E2_e000_reference.vtu,1536,800
S,0,0,epoch_start,coarse,mesh_E2_e000_i000_coarse.vtu,48,28
S,0,0,epoch_start,candidate,mesh_E2_e000_i000_candidate.vtu,1536,800
S,0,8,committed,coarse,mesh_E2_e000_i008_coarse.vtu,74,43
S,0,8,committed,candidate,mesh_E2_e000_i008_candidate.vtu,1874,969
S,0,17,committed,coarse,mesh_E2_e000_i017_coarse.vtu,124,68
S,0,17,committed,candidate,mesh_E2_e000_i017_candidate.vtu,2328,1199
S,0,23,pre_switch,coarse,mesh_E2_e000_i023_coarse.vtu,124,68
S,0,23,pre_switch,candidate,mesh_E2_e000_i023_candidate.vtu,6224,3156
S,0,24,committed,coarse,mesh_E2_e000_i024_coarse.vtu,186,98
S,0,24,committed,candidate,mesh_E2_e000_i024_candidate.vtu,6224,3156
S,1,25,epoch_start,reference,mesh_E2_e001_reference.vtu,6224,3156
S,1,25,epoch_start,coarse,mesh_E2_e001_i025_coarse.vtu,186,98
S,1,25,epoch_start,candidate,mesh_E2_e001_i025_candidate.vtu,6224,3156
S,1,33,final,coarse,mesh_final_coarse.vtu,284,148
S,1,33,final,reference,mesh_final_reference.vtu,6224,3156
S,1,33,final,candidate,mesh_final_candidate.vtu,6660,3380
