H_step,iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
0,2,IncreaseGlobalEll,3,0.47587428341822868,192,0.096657125999999996,0.42021794499999998
0,3,AcceptLocalization,3,0.15559490555820779,192,0.13765421899999999,0.43480614499999998
1,6,AcceptLocalization,3,0.091731597088628256,232,0.144827079,0.46310501599999998
2,9,AcceptLocalization,3,0.084661838746289367,296,0.148695983,0.57455664100000003
3,12,AcceptLocalization,3,0.082229182763302017,376,0.15593750300000001,0.75438908999999998
3,16,AcceptLocalization,3,0.076631210018318852,376,0.221210612,0.79891448899999995
4,19,AcceptLocalization,3,0.078129136794313603,480,0.22887411099999999,1.074988295
5,22,AcceptLocalization,3,0.066592446977387684,665,0.24947813299999999,1.541016626
6,25,AcceptLocalization,3,0.067659151170924345,882,0.27254834100000003,2.2545266430000002
6,29,AcceptLocalization,3,0.061576917828735978,882,0.54654875000000003,2.2598439859999999
7,32,AcceptLocalization,3,0.053455742016633549,1211,0.60600704699999997,3.2978613220000002
8,35,AcceptLocalization,3,0.053669073948792681,1573,0.67312629400000001,4.5850694809999997
9,38,AcceptLocalization,3,0.050275335541228608,2107,0.79188719799999996,6.5369004860000004
9,42,AcceptLocalization,3,0.049645211096522542,2107,1.624828229,6.6299419860000004
10,45,AcceptLocalization,3,0.04965837941513631,2708,1.8781334869999999,9.3571173309999995
11,48,AcceptLocalization,3,0.04975257110726676,3602,2.3068851800000001,14.255548152999999
12,51,AcceptLocalization,3,0.049756037464738334,4544,2.8095841899999998,19.513320243999999
