H_step,iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
0,1,SolveStandardLod,2,,192,0.045300897,0
1,3,SolveStandardLod,2,,384,0.076941322999999992,0
2,5,SolveStandardLod,2,,768,0.15819764,0
3,7,SolveStandardLod,2,,1536,0.33505642299999999,0
4,9,SolveStandardLod,2,,3072,0.68231618000000005,0
5,11,SolveStandardLod,2,,6144,1.377362682,0
6,13,SolveStandardLod,2,,12288,2.744184341,0
7,15,SolveStandardLod,2,,24576,5.5139394340000001,0
8,17,SolveStandardLod,2,,49152,11.093298292,0
9,19,SolveStandardLod,2,,98304,22.375244944999999,0
