H_step,iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
0,2,IncreaseGlobalEll,3,0.47587428341822868,192,0.096324684999999993,0.42435526099999998
0,3,AcceptLocalization,3,0.15559490555820779,192,0.138207688,0.44154010599999999
1,6,AcceptLocalization,3,0.091731597088628256,232,0.14604229299999999,0.46753857199999999
2,9,AcceptLocalization,3,0.084661838746289367,296,0.15267589200000001,0.58295193700000003
3,12,AcceptLocalization,3,0.082229182763302017,376,0.15644294,0.74726984299999999
3,16,AcceptLocalization,3,0.076631210018318852,376,0.22252991499999999,0.78065620800000002
4,19,AcceptLocalization,3,0.078129136794313603,480,0.23021328199999999,1.042150183
5,22,AcceptLocalization,3,0.066592446977387684,665,0.25093738599999998,1.5306147859999999
6,25,AcceptLocalization,3,0.067659151170924345,882,0.27433329200000001,2.2466840220000002
6,29,AcceptLocalization,3,0.061576917828735978,882,0.54628041699999996,2.2605669929999999
7,32,AcceptLocalization,3,0.053455742016633549,1211,0.60673401999999999,3.272014397
8,35,AcceptLocalization,3,0.053669073948792681,1573,0.67463147400000001,4.5297399260000004
9,38,AcceptLocalization,3,0.050275335541228608,2107,0.79480300599999998,6.4801032049999998
9,42,AcceptLocalization,3,0.049645211096522542,2107,1.631768892,6.6539697049999997
10,45,AcceptLocalization,3,0.04965837941513631,2708,1.8806659240000001,9.2788335649999993
11,48,AcceptLocalization,3,0.04975257110726676,3602,2.3069312050000002,14.204165872000001
12,51,AcceptLocalization,3,0.049756037464738334,4544,2.8142871440000001,19.458040668999999
