iteration,action,ell,Theta_loc,rebuilt_correctors,time_corrector,time_certificate
2,IncreaseGlobalEll,3,0.47587428341822868,192,0.097349157000000006,0.42812512600000002
3,AcceptLocalization,3,0.15559490555820779,192,0.137371663,0.42722796800000001
6,AcceptLocalization,3,0.091731597088628256,232,0.14491900699999999,0.46364414100000001
9,AcceptLocalization,3,0.084661838746289367,296,0.149654127,0.57869344
12,AcceptLocalization,3,0.082229182763302017,376,0.15587921399999999,0.75504760999999998
16,AcceptLocalization,3,0.076631210018318852,376,0.22203999499999999,0.78702558199999995
19,AcceptLocalization,3,0.078129136794313603,480,0.23107456600000001,1.0775059920000001
22,AcceptLocalization,3,0.066592446977387684,665,0.25001332599999998,1.5579403519999999
25,AcceptLocalization,3,0.067659151170924345,882,0.273992664,2.3033997529999999
29,AcceptLocalization,3,0.061576917828735978,882,0.54737148899999999,2.277997719
32,AcceptLocalization,3,0.053455742016633549,1211,0.60718444100000002,3.2587849690000001
35,AcceptLocalization,3,0.053669073948792681,1573,0.67511434400000003,4.5417413800000004
38,AcceptLocalization,3,0.050275335541228608,2107,0.79543526600000003,6.519724675
42,AcceptLocalization,3,0.049645211096522542,2107,1.6308777839999999,6.6693712009999997
45,AcceptLocalization,3,0.04965837941513631,2708,1.900238308,9.3468340340000005
48,AcceptLocalization,3,0.04975257110726676,3602,2.3113634909999998,14.238647483999999
51,AcceptLocalization,3,0.049756037464738334,4544,2.8118719090000002,19.541373729
