schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,0,InitializeReferenceEpoch,initialized fixed reference epoch and ambient shadow,113,104,3201,3201,2,4,,0.17677669529663689,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0.069484075000000006,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,1,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,113,104,3201,3201,2,4,,0.17677669529663689,0,0,0,,,,,,,,,,0,0,0,0.00010289900000000001,0,0,0,0,0.069653274000000001,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,2,IncreaseGlobalEll,localization threshold failed; increased global ell,113,104,3201,3201,3,4,,0.17677669529663689,0,0.47587428341822868,0,,,,,,,,,,0,192,0,0,0.097349157000000006,0.42812512600000002,0,0,0.595242296,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,3,AcceptLocalization,reference localization certificate accepted,113,104,3201,3201,3,4,,0.17677669529663689,0,0.15559490555820779,0,,,,,,,,,,0,192,0,0,0.137371663,0.42722796800000001,0,0,1.159910617,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,4,FormCoarseMarking,formed reference-residual coarse marking,113,104,3201,3201,3,4,,0.17677669529663689,8.6130845222150736,0.15559490555820779,4.3118868206038607,0.81129856721476257,0.6955838417062532,3.6258490676407118,0.11828058054229407,0.85259625657919846,0.74496128198475486,,,,33,0,0,0,0,0,0.00062821800000000005,0.42333148599999998,1.5839443609999999,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,5,RefineCoarse,coarse mesh refined while preserving the reference epoch,134,123,3201,3201,3,4,,0.25,8.6130845222150736,0.15559490555820779,4.3118868206038607,,,,,,,,,,33,0,0,0.020802525999999998,0,0,0,0,1.604813907,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,6,AcceptLocalization,reference localization certificate accepted,134,123,3201,3201,3,4,,0.25,8.6130845222150736,0.091731597088628256,4.3118868206038607,,,,,,,,,,0,232,0,0,0.14491900699999999,0.46364414100000001,0,0,2.2134471549999999,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,7,FormCoarseMarking,formed reference-residual coarse marking,134,123,3201,3201,3,4,,0.25,8.2127845771902326,0.091731597088628256,4.0802408576351912,0.60861436045542572,0.42648437842212611,2.8456182307992703,0.076490047634649769,0.66912974201974973,0.48175384060283949,0.75017309909080199,0.2874513002939878,1.6864063310103765,43,0,0,0,0,0,0.00064561900000000005,0.43043889000000002,2.6446028039999998,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,8,RefineCoarse,coarse mesh refined while preserving the reference epoch,166,155,3201,3649,3,4,,0.25,8.2127845771902326,0.091731597088628256,4.0802408576351912,,,,,,,,,,43,0,896,0.044596097000000001,0,0,0,0,2.689273601,2445.21484375
4,S,PALOD,16,S_PALOD_k16_r0_9ca5f6851fd79703,0,9,AcceptLocalization,reference localization certificate accepted,166,155,3201,3649,3,4,,0.25,8.2127845771902326,0.084661838746289367,4.0802408576351912,,,,,,,,,,0,296,0,0,0.149654127,0.57869344,0,0,3.4177020869999999,2445.21484375
