schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,DoF_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,exact_energy_error,exact_L2_error,relative_exact_energy_error,relative_exact_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,0,0,InitializeReferenceEpoch,initialized standard LOD with a fixed fine-to-coarse mesh ratio,113,104,3201,,2,4,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4.7999999999999998e-06,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,0,1,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=0.084567064999999997,113,104,3201,,2,4,,,,,,0.81987272094933428,0.70686728977165247,3.6507902303347555,0.11951925134943804,0.8584610186117535,0.75276274684243794,,,,0,192,0,0,0.048895883000000001,0,0.00051495899999999995,0,0.085101713999999995,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,1,2,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,225,208,6273,,2,2.8284271247461903,,,,,,,,,,,,,,,192,0,6144,0.16600446699999999,0,0,0,0,0.25111801099999997,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,1,3,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=0.14713901800000001,225,208,6273,,2,2.8284271247461903,,,,,,0.60095508855596269,0.39742387144827668,2.7035383599196927,0.0677262757029891,0.63572055746539147,0.42655736844043607,0.73298583206929258,0.31062890597356602,0.45102835844604305,0,384,0,0,0.07704634199999999,0,0.00099761800000000003,0,0.39934805699999998,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,2,4,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,417,400,12545,,2,2,,,,,,,,,,,,,,,384,0,12288,0.32975288899999999,0,0,0,0,0.72911557599999999,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,2,5,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=0.30016300400000001,417,400,12545,,2,2,,,,,,0.46988497085694886,0.22699884749113428,2.1010658578520616,0.038570894923475284,0.49405283820422752,0.24292933970191677,0.78189698332705238,0.24603228199051896,0.39876488920323239,0,768,0,0,0.15870091300000003,0,0.0020571550000000002,0,1.0314733149999999,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,3,6,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,833,800,24833,,2,1.4142135623730951,,,,,,,,,,,,,,,768,0,24576,0.68623509000000005,0,0,0,0,1.7177340149999998,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,3,7,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=0.64098741800000003,833,800,24833,,2,1.4142135623730951,,,,,,0.38431235353133408,0.14775236618210774,1.7028894761844529,0.024888549985167836,0.40042409530934864,0.15675443948179871,0.81788603034152718,0.20103227929717443,0.29053114930358004,0,1536,0,0,0.33721928300000004,0,0.0042581700000000004,0,2.3632010729999999,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,4,8,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,1601,1568,49665,,2,1,,,,,,,,,,,,,,,1536,0,49152,1.489732179,0,0,0,0,3.8529786419999996,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,4,9,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=1.4156176,1601,1568,49665,,2,1,,,,,,0.26935358607618276,0.07704001763902478,1.1967330878863842,0.012884400354816732,0.2814045049024208,0.081149241594337868,0.70087152703047728,0.35543067974162112,0.54401261377405274,0,3072,0,0,0.68521858000000002,0,0.00892277,0,5.2778854919999993,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,5,10,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,3201,3136,98817,,2,0.70710678118654757,,,,,,,,,,,,,,,3072,0,98304,3.1885847649999999,0,0,0,0,8.4665514659999985,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,5,11,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=3.2119551560000001,3201,3136,98817,,2,0.70710678118654757,,,,,,0.19915345372445939,0.044159040100250346,0.88397623212540832,0.0073642031693660253,0.20786163464178656,0.046381630940038159,0.73937554211040546,0.30194931104886813,0.43581716636275636,0,6144,0,0,1.381687326,0,0.019997416,0,11.699401526999999,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,6,12,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,6273,6208,197633,,2,0.5,,,,,,,,,,,,,,,6144,0,196608,7.3326232039999999,0,0,0,0,19.032173140000001,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,6,13,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=7.241432391,6273,6208,197633,,2,0.5,,,,,,0.12893895099832356,0.02045070005601194,0.57670166143766566,0.0034119417405627035,0.13560788885142352,0.021489279825691737,0.64743517416834884,0.43473660753501625,0.64616845048397564,0,12288,0,0,2.7539631579999999,0,0.042037907999999999,0,26.330378176,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,7,14,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,12545,12416,394241,,2,0.35355339059327379,,,,,,,,,,,,,,,12288,0,393216,18.293150576999999,0,0,0,0,44.623804961999994,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,7,15,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=18.671034325000001,12545,12416,394241,,2,0.35355339059327379,,,,,,0.072438395999657915,0.0078089432807852731,0.33402248031928139,0.0013299857311283359,0.078543355348885291,0.0083765895532833395,0.56180382606493939,0.57660255396683358,0.83195731777934867,0,24576,0,0,5.5389501479999996,0,0.101468642,0,63.429974873999996,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,8,16,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,24833,24704,788481,,2,0.25,,,,,,,,,,,,,,,24576,0,786432,40.727900849999997,0,0,0,0,104.158399342,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,8,17,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=41.096525872999997,24833,24704,788481,,2,0.25,,,,,,0.038700677646737763,0.002732630818723237,0.18763328352862463,0.00048264688047670135,0.044120825873757208,0.0030398332270089794,0.53425641350369668,0.62687938016855915,0.91803214077169126,0,49152,0,0,11.142778003,0,0.21499950400000001,0,145.562888816,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,9,18,RefineUniformLod,uniformly refined H and h by one level while preserving fixed h/H,49665,49408,1574913,,2,0.17677669529663689,,,,,,,,,,,,,,,49152,0,1572864,93.169493520000003,0,0,0,0,238.73341373300002,45038.23828125
4,S,SLOD,16,S_SLOD_k16_r0_adda0ea856a4bdca,9,19,SolveStandardLod,rebuilt and solved standard LOD on the current uniform coarse mesh; full model build seconds=113.41526887400001,49665,49408,1574913,,2,0.17677669529663689,,,,,,0.020638957538517601,0.00098081754857019224,0.10912357679965046,0.00019498525268140082,0.025659745680803099,0.0012280668825496851,0.53329705817844619,0.62867667765097479,0.90701507235522139,0,98304,0,0,22.459296562999999,0,0.52256567200000004,0,352.87443955600003,45038.23828125
