schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,0,InitializeReferenceEpoch,initialized fixed reference epoch and ambient shadow,225,12545,12545,2,2.8284271247461903,,0.125,0,0,0,,,,,,0,0,0,0,0,0,0,0,3.3691982199999999,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,1,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,225,12545,12545,2,2.8284271247461903,,0.125,0,0,0,,,,,,0,0,0,0.088193663000000005,0,0,0,0,3.4576250630000001,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,2,AcceptLocalization,reference localization certificate accepted,225,12545,12545,2,2.8284271247461903,,0.125,0,0.072385853960738156,0,,,,,,0,384,0,0,0.69848128899999995,47.035966246000001,0,0,51.192313927999997,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,3,FormCoarseMarking,formed reference-residual coarse marking,225,12545,12545,2,2.8284271247461903,,0.125,9.672941217932804,0.072385853960738156,4.7945211375227696,0.61567620988587246,0.40946893159175879,,,,45,0,0,0,0,0,0.0019987109999999998,3.2671330969999999,54.461694395999999,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,4,RefineCoarse,coarse mesh refined while preserving the reference epoch,253,12545,12545,2,2.8284271247461903,,0.17677669529663689,9.672941217932804,0.072385853960738156,4.7945211375227696,,,,,,45,0,0,3.357625294,0,0,0,0,57.819572909999998,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,5,AcceptLocalization,reference localization certificate accepted,253,12545,12545,2,2.8284271247461903,,0.17677669529663689,9.672941217932804,0.066362061729309571,4.7945211375227696,,,,,,0,440,0,0,0.69990069600000004,50.744514326000001,0,0,109.264232542,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,6,FormCoarseMarking,formed reference-residual coarse marking,253,12545,12545,2,2.8284271247461903,,0.17677669529663689,8.8154736387348542,0.066362061729309571,4.3663423363714218,0.49690732716428715,0.26360346887670916,0.80709197332214377,0.21431764778595672,1.8272599279196107,61,0,0,0,0,0,0.0021452590000000001,3.0688800089999999,112.3355171,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,7,RefineCoarse,coarse mesh refined while preserving the reference epoch,291,12545,12545,2,2.8284271247461903,,0.25,8.8154736387348542,0.066362061729309571,4.3663423363714218,,,,,,61,0,0,3.415771281,0,0,0,0,115.751554111,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,8,AcceptLocalization,reference localization certificate accepted,291,12545,12545,2,2.8284271247461903,,0.25,8.8154736387348542,0.066128253981169172,4.3663423363714218,,,,,,0,516,0,0,0.70130543199999995,58.529768912999998,0,0,174.98287473600001,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,9,FormCoarseMarking,formed reference-residual coarse marking,291,12545,12545,2,2.8284271247461903,,0.25,7.6894909207063371,0.066128253981169172,3.8085311011062619,0.42501165770756333,0.20495542994964372,0.85531372647086423,0.15628694580342251,1.1168636160710677,84,0,0,0,0,0,0.0021886179999999998,3.0039576800000001,177.989281554,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,10,RefineCoarse,coarse mesh refined while preserving the reference epoch,354,12545,13329,2,2.8284271247461903,,0.25,7.6894909207063371,0.066128253981169172,3.8085311011062619,,,,,,84,0,1568,7.1097234419999999,0,0,0,0,185.099287506,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,11,AcceptLocalization,reference localization certificate accepted,354,12545,13329,2,2.8284271247461903,,0.25,7.6894909207063371,0.095109650748956276,3.8085311011062619,,,,,,0,642,0,0,0.73220837299999997,76.046487482000003,0,0,261.87824688000001,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,12,FormCoarseMarking,formed reference-residual coarse marking,354,12545,13329,2,2.8284271247461903,,0.25,5.6977645044824214,0.095109650748956276,2.8318859241352046,0.31958786152290264,0.14628596813417807,0.75195081294170196,0.28508436549371963,1.4547076679309652,122,0,0,0,0,0,0.0022811160000000001,2.9452869869999998,264.826086073,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,13,RefineCoarse,coarse mesh refined while preserving the reference epoch,443,12545,14353,2,2.8284271247461903,,0.25,5.6977645044824214,0.095109650748956276,2.8318859241352046,,,,,,122,0,2048,8.1571600469999996,0,0,0,0,272.983573079,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,14,AcceptLocalization,reference localization certificate accepted,443,12545,14353,2,2.8284271247461903,,0.25,5.6977645044824214,0.13127691886955722,2.8318859241352046,,,,,,0,820,0,0,0.77751734699999997,102.418358954,0,0,376.17974388900001,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,15,FormCoarseMarking,formed reference-residual coarse marking,443,12545,14353,2,2.8284271247461903,,0.25,4.276311022274256,0.13127691886955722,2.134613598517479,0.23854951806098831,0.090257499668244492,0.74642859376526449,0.29245532127968277,1.304015676740004,152,0,0,0,0,0,0.0023024539999999998,2.900926063,379.083261166,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,16,RefineCoarse,coarse mesh refined while preserving the reference epoch,564,12545,16017,2,2.8284271247461903,,0.25,4.276311022274256,0.13127691886955722,2.134613598517479,,,,,,152,0,3328,9.433246638,0,0,0,0,388.51685677300003,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,17,AcceptLocalization,reference localization certificate accepted,564,12545,16017,2,2.8284271247461903,,0.25,4.276311022274256,0.16331920202300451,2.134613598517479,,,,,,0,1061,0,0,0.85033143300000003,147.09444290499999,0,0,536.46196541999996,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,18,FormCoarseMarking,formed reference-residual coarse marking,564,12545,16017,2,2.8284271247461903,,0.25,2.7111172538218291,0.16331920202300451,1.3584885385398058,0.14908720251356072,0.046866997778589728,0.62497381560605214,0.47004552515367343,1.9464833612726689,199,0,0,0,0,0,0.0023955909999999999,2.9139476179999999,539.378635637,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,19,RefineCoarse,coarse mesh refined while preserving the reference epoch,720,12545,18321,2,2.8284271247461903,,0.25,2.7111172538218291,0.16331920202300451,1.3584885385398058,,,,,,199,0,4608,11.995549495000001,0,0,0,0,551.37459879000005,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,20,AcceptLocalization,reference localization certificate accepted,720,12545,18321,2,2.8284271247461903,,0.25,2.7111172538218291,0.17580101742011078,1.3584885385398058,,,,,,0,1369,0,0,0.97978812000000004,216.54205789599999,0,0,768.89682381500006,17729.18359375
4,S,PALOD,16,S_PALOD_k16_r0_6225f02ebe6c1f0b,2,21,CompleteTrajectory,fixed H-step trajectory complete,720,12545,18321,2,2.8284271247461903,,0.25,1.8134578451198868,0.17580101742011078,0.91003725941008595,0.1012683801524866,0.032997808012257858,0.67925602228182791,0.38675716463941778,1.5837918859778173,0,0,0,0,0,0,0.002617908,2.942994235,771.84281562700005,17729.18359375
