schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,reference_error_ratio,reference_log_improvement,reference_dof_log_slope,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,0,InitializeReferenceEpoch,initialized fixed reference epoch and ambient shadow,225,3201,3201,2,2.8284271247461903,,0.25,0,0,0,,,,,,0,0,0,0,0,0,0,0,0.322096363,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,1,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,225,3201,3201,2,2.8284271247461903,,0.25,0,0,0,,,,,,0,0,0,0.021491166999999999,0,0,0,0,0.34364980000000001,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,2,AcceptLocalization,reference localization certificate accepted,225,3201,3201,2,2.8284271247461903,,0.25,0,0.08872683734165808,0,,,,,,0,384,0,0,0.20125172299999999,8.0294512170000001,0,0,8.5744214299999992,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,3,FormCoarseMarking,formed reference-residual coarse marking,225,3201,3201,2,2.8284271247461903,,0.25,8.2264267221048755,0.08872683734165808,4.0855458530704789,0.57824195349253504,0.38192615246659145,,,,44,0,0,0,0,0,0.00061112999999999998,0.43230785599999999,9.0074107659999996,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,4,RefineCoarse,coarse mesh refined while preserving the reference epoch,252,3201,3633,2,2.8284271247461903,,0.25,8.2264267221048755,0.08872683734165808,4.0855458530704789,,,,,,44,0,864,0.66744585000000001,0,0,0,0,9.6749441959999984,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,5,AcceptLocalization,reference localization certificate accepted,252,3201,3633,2,2.8284271247461903,,0.25,8.2264267221048755,0.10690223086820624,4.0855458530704789,,,,,,0,438,0,0,0.211045597,10.494196103,0,0,20.380264036,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,6,FormCoarseMarking,formed reference-residual coarse marking,252,3201,3633,2,2.8284271247461903,,0.25,7.0569025564356416,0.10690223086820624,3.5123585657926406,0.44479947725678481,0.2323519665546436,0.76922726649325879,0.2623688180366221,2.3151139301217034,59,0,0,0,0,0,0.00063809000000000001,0.42814707699999999,20.809129183000003,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,7,RefineCoarse,coarse mesh refined while preserving the reference epoch,288,3201,4209,2,2.8284271247461903,,0.25,7.0569025564356416,0.10690223086820624,3.5123585657926406,,,,,,59,0,1152,0.81431467199999996,0,0,0,0,21.623554225000003,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,8,AcceptLocalization,reference localization certificate accepted,288,3201,4209,2,2.8284271247461903,,0.25,7.0569025564356416,0.11650694167392968,3.5123585657926406,,,,,,0,510,0,0,0.22077216699999999,14.517580883999999,0,0,36.362002896,6382.8515625
4,S,PALOD,16,S_PALOD_k16_r0_b8272bc608cc3803,0,9,FormCoarseMarking,formed reference-residual coarse marking,288,3201,4209,2,2.8284271247461903,,0.25,5.7751989305209497,0.11650694167392968,2.8777342316443466,0.3689553119787583,0.17929264253979779,0.8294868381011129,0.18694803674562208,1.4000306075688282,84,0,0,0,0,0,0.00066837999999999999,0.42904917100000001,36.791815497000002,6382.8515625
