MemTotal:       395753968 kB
MemFree:        375703852 kB
MemAvailable:   384007068 kB
Buffers:         1088244 kB
Cached:          9914268 kB
SwapCached:        46976 kB
Active:          4972460 kB
Inactive:       11465596 kB
Active(anon):    2378768 kB
Inactive(anon):  3158756 kB
Active(file):    2593692 kB
Inactive(file):  8306840 kB
Unevictable:        3088 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:         415412 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:              2028 kB
Writeback:             0 kB
AnonPages:       5391724 kB
Mapped:           834616 kB
Shmem:            102004 kB
KReclaimable:     599932 kB
Slab:            1806088 kB
SReclaimable:     599932 kB
SUnreclaim:      1206156 kB
KernelStack:       63072 kB
PageTables:        99564 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    199974132 kB
Committed_AS:   24843628 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      623408 kB
VmallocChunk:          0 kB
Percpu:           252928 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      253688 kB
DirectMap2M:    21518336 kB
DirectMap1G:    381681664 kB
