schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,0,InitializeReferenceEpoch,initialized fixed reference epoch and ambient shadow,225,3201,3201,2,2.8284271247461903,,0.25,0,0,0,,,0,0,0,0,0,0,0,0,0.32356421800000001,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,1,AcceptCoarse,coarse resolution recorded for posterior convergence diagnostics; ambient-ratio gate accepted,225,3201,3201,2,2.8284271247461903,,0.25,0,0,0,,,0,0,0,0.021484152999999999,0,0,0,0,0.34511111100000003,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,2,AcceptLocalization,reference localization certificate accepted,225,3201,3201,2,2.8284271247461903,,0.25,0,0.08872683734165808,0,,,0,384,0,0,0.19888135000000001,7.6913579219999999,0,0,8.2354188330000007,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,3,FormCoarseMarking,formed reference-residual coarse marking,225,3201,3201,2,2.8284271247461903,,0.25,8.2264267221048755,0.08872683734165808,4.0855458530704789,0.57824195349253504,0.38192615246659145,44,0,0,0,0,0,0.00063840100000000003,0.430805202,8.6669332059999995,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,4,RefineCoarse,coarse mesh refined while preserving the reference epoch,252,3201,3633,2,2.8284271247461903,,0.25,8.2264267221048755,0.08872683734165808,4.0855458530704789,,,44,0,864,0.66903234899999997,0,0,0,0,9.3360536350000007,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,5,AcceptLocalization,reference localization certificate accepted,252,3201,3633,2,2.8284271247461903,,0.25,8.2264267221048755,0.10690223086820624,4.0855458530704789,,,0,438,0,0,0.221520994,10.068483462,0,0,19.626142381000001,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,6,FormCoarseMarking,formed reference-residual coarse marking,252,3201,3633,2,2.8284271247461903,,0.25,7.0569025564356416,0.10690223086820624,3.5123585657926406,0.44479947725678481,0.2323519665546436,59,0,0,0,0,0,0.00063708099999999995,0.42426886800000002,20.051133579999998,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,7,RefineCoarse,coarse mesh refined while preserving the reference epoch,288,3201,4209,2,2.8284271247461903,,0.25,7.0569025564356416,0.10690223086820624,3.5123585657926406,,,59,0,1152,0.81588465700000001,0,0,0,0,20.867128027,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,8,AcceptLocalization,reference localization certificate accepted,288,3201,4209,2,2.8284271247461903,,0.25,7.0569025564356416,0.11650694167392968,3.5123585657926406,,,0,510,0,0,0.22531461699999999,13.955875775000001,0,0,35.048409598999996,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,9,FormCoarseMarking,formed reference-residual coarse marking,288,3201,4209,2,2.8284271247461903,,0.25,5.7751989305209497,0.11650694167392968,2.8777342316443466,0.3689553119787583,0.17929264253979779,84,0,0,0,0,0,0.00069882099999999997,0.42684370999999999,35.476046590000003,1321.25390625
2,S,PALOD,16,S_PALOD_k16_r0_00bd4f772f9925b1,0,10,StopWorkLimit,maximum coarse-refinement steps reached,288,3201,4209,2,2.8284271247461903,,0.25,5.7751989305209497,0.11650694167392968,2.8777342316443466,,,84,0,0,0,0,0,0,0,35.476126409999999,1321.25390625
