element_id,n0,n1,n2,cx,cy,area,diameter
0,33,21,9,0.375,0.20833333333333334,0.015625,0.25
1,39,24,11,0.625,0.79166666666666663,0.015625,0.25
2,36,22,12,0.20833333333333334,0.625,0.015625,0.25
3,37,23,10,0.79166666666666663,0.375,0.015625,0.25
4,34,15,10,0.70833333333333337,0.125,0.015625,0.25
5,40,20,12,0.29166666666666669,0.875,0.015625,0.25
6,35,14,9,0.125,0.29166666666666669,0.015625,0.25
7,38,17,11,0.875,0.70833333333333337,0.015625,0.25
8,25,13,9,0.20833333333333334,0.125,0.015625,0.25
9,27,18,11,0.79166666666666663,0.875,0.015625,0.25
10,28,19,12,0.125,0.79166666666666663,0.015625,0.25
11,26,16,10,0.875,0.20833333333333334,0.015625,0.25
12,30,21,10,0.625,0.29166666666666669,0.015625,0.25
13,32,24,12,0.375,0.70833333333333337,0.015625,0.25
14,29,22,9,0.29166666666666669,0.375,0.015625,0.25
15,31,23,11,0.70833333333333337,0.625,0.015625,0.25
16,29,21,4,0.45833333333333331,0.375,0.015625,0.25
17,31,24,4,0.54166666666666663,0.625,0.015625,0.25
18,32,22,4,0.375,0.54166666666666663,0.015625,0.25
19,30,23,4,0.625,0.45833333333333331,0.015625,0.25
20,26,15,1,0.875,0.041666666666666664,0.015625,0.25
21,28,20,3,0.125,0.95833333333333337,0.015625,0.25
22,25,14,0,0.041666666666666664,0.125,0.015625,0.25
23,27,17,2,0.95833333333333337,0.875,0.015625,0.25
24,33,13,5,0.375,0.041666666666666664,0.015625,0.25
25,39,18,8,0.625,0.95833333333333337,0.015625,0.25
26,36,19,6,0.041666666666666664,0.625,0.015625,0.25
27,37,16,7,0.95833333333333337,0.375,0.015625,0.25
28,34,21,5,0.54166666666666663,0.125,0.015625,0.25
29,40,24,8,0.45833333333333331,0.875,0.015625,0.25
30,35,22,6,0.125,0.45833333333333331,0.015625,0.25
31,38,23,7,0.875,0.54166666666666663,0.015625,0.25
32,33,5,21,0.45833333333333331,0.125,0.015625,0.25
33,39,8,24,0.54166666666666663,0.875,0.015625,0.25
34,36,6,22,0.125,0.54166666666666663,0.015625,0.25
35,37,7,23,0.875,0.45833333333333331,0.015625,0.25
36,34,5,15,0.625,0.041666666666666664,0.015625,0.25
37,40,8,20,0.375,0.95833333333333337,0.015625,0.25
38,35,6,14,0.041666666666666664,0.375,0.015625,0.25
39,38,7,17,0.95833333333333337,0.625,0.015625,0.25
40,25,0,13,0.125,0.041666666666666664,0.015625,0.25
41,27,2,18,0.875,0.95833333333333337,0.015625,0.25
42,28,3,19,0.041666666666666664,0.875,0.015625,0.25
43,26,1,16,0.95833333333333337,0.125,0.015625,0.25
44,30,4,21,0.54166666666666663,0.375,0.015625,0.25
45,32,4,24,0.45833333333333331,0.625,0.015625,0.25
46,29,4,22,0.375,0.45833333333333331,0.015625,0.25
47,31,4,23,0.625,0.54166666666666663,0.015625,0.25
48,29,9,21,0.375,0.29166666666666669,0.015625,0.25
49,31,11,24,0.625,0.70833333333333337,0.015625,0.25
50,32,12,22,0.29166666666666669,0.625,0.015625,0.25
51,30,10,23,0.70833333333333337,0.375,0.015625,0.25
52,26,10,15,0.79166666666666663,0.125,0.015625,0.25
53,28,12,20,0.20833333333333334,0.875,0.015625,0.25
54,25,9,14,0.125,0.20833333333333334,0.015625,0.25
55,27,11,17,0.875,0.79166666666666663,0.015625,0.25
56,33,9,13,0.29166666666666669,0.125,0.015625,0.25
57,39,11,18,0.70833333333333337,0.875,0.015625,0.25
58,36,12,19,0.125,0.70833333333333337,0.015625,0.25
59,37,10,16,0.875,0.29166666666666669,0.015625,0.25
60,34,10,21,0.625,0.20833333333333334,0.015625,0.25
61,40,12,24,0.375,0.79166666666666663,0.015625,0.25
62,35,9,22,0.20833333333333334,0.375,0.015625,0.25
63,38,11,23,0.79166666666666663,0.625,0.015625,0.25
