node_id,x,y,p1_real,p1_imag,lod_coefficient_real,lod_coefficient_imag
0,0,0,-0.0010485642096991284,-0.0018501992353435366,-0.00059454558435526679,-0.00032972629033961592
1,1,0,0.017478679991377321,0.031289533327964053,-0.0002346541598767151,-0.00062682561593800494
2,1,1,0.017478679991376929,0.031289533327963727,-0.00023465415988187081,-0.00062682561593778755
3,0,1,-0.0010485642096990627,-0.0018501992353437814,-0.00059454558435477055,-0.00032972629034162885
4,0.5,0.5,-0.6666374533184144,-0.70300451164906164,-0.69600842456697787,-0.80581387714009667
5,0.5,0,-0.0009014841863664555,0.0066487814476289542,0.011248603496502486,0.013010203879914452
6,0,0.5,-0.0057859891839424273,0.0016750782872937268,-0.010625869937388012,-0.017430159387127594
7,1,0.5,0.065554511888366251,-0.0254305135061287,-0.015661908230299136,-0.013063215313718738
8,0.5,1,-0.00090148418636677859,0.0066487814476278483,0.011248603496504318,0.013010203879915697
9,0.25,0.25,-0.12345933211710924,0.28357994743624476,-0.12359894543101145,0.31016990775303166
10,0.75,0.25,0.27207783197791335,-0.13888093475146043,0.32483962351485041,-0.077181562399424294
11,0.75,0.75,0.2720778319779138,-0.13888093475145963,0.32483962351486023,-0.077181562399421838
12,0.25,0.75,-0.12345933211710948,0.28357994743624576,-0.1235989454310148,0.31016990775303577
13,0.25,0,0.0026819705182694132,-0.0069037106848231786,0.0050648266929675901,-0.0084380497652616192
14,0,0.25,-0.0047786777313115767,-0.001348971413373076,-0.0060855556887770912,-0.0098626360292613149
15,0.75,0,0.015666697683000361,-0.024990491271780307,-0.0090744387588243096,0.0037898195755788166
16,1,0.25,0.053839003792277837,-0.0069712148124508929,-0.008845444836747398,-0.0074588141768544046
17,1,0.75,0.053839003792277178,-0.0069712148124510247,-0.0088454448367486765,-0.0074588141768491614
18,0.75,1,0.015666697683000608,-0.024990491271779727,-0.0090744387588248317,0.0037898195755868961
19,0,0.75,-0.0047786777313117753,-0.0013489714133731595,-0.0060855556887808061,-0.0098626360292615924
20,0.25,1,0.0026819705182685939,-0.0069037106848234145,0.0050648266929662188,-0.0084380497652627173
21,0.5,0.25,-0.3750762980808075,-0.39673930585411854,-0.3890792240007005,-0.45046643601152814
22,0.25,0.5,-0.21844293298347317,0.51201923752748413,-0.22160730658709737,0.55467153128397018
23,0.75,0.5,0.47746391197133892,-0.21607618594829234,0.58097802492752126,-0.13858668134587665
24,0.5,0.75,-0.37507629808080772,-0.3967393058541186,-0.38907922400069633,-0.45046643601153552
25,0.125,0.125,0.014082486844812022,0.027712532498823484,0.023545506714697583,0.027226701279435533
26,0.875,0.125,0.057495745771302266,-0.0052094993367996752,0.023523731456626774,0.027248533502371903
27,0.875,0.875,0.057495745771301884,-0.0052094993367990325,0.023523731456628404,0.027248533502379015
28,0.125,0.875,0.0140824868448118,0.027712532498823557,0.023545506714694742,0.027226701279435255
29,0.375,0.375,-0.73942117111339623,0.13309416047238085,-0.81083892270336866,0.13214935420547885
30,0.625,0.375,0.15520853240443258,-0.73054369294726396,0.24867372151807687,-0.78299174699370833
31,0.625,0.625,0.15520853240443294,-0.73054369294726396,0.24867372151808972,-0.7829917469937111
32,0.375,0.625,-0.739421171113396,0.13309416047238165,-0.81083892270336577,0.13214935420547999
33,0.375,0.125,-0.15402994300007497,0.027222234302612346,-0.16771190783605458,0.027858240121693776
