schema_version,case,method,kappa,run_id,reference_epoch,iteration,action,stop_reason,N_H,N_ref,N_amb,ell,kappa_H_max,mu_H,rho_amb,eta_H,Theta_loc,U_prac,reference_energy_error,reference_L2_error,marked_H,rebuilt_correctors,ambient_refined_elements,time_mesh,time_corrector,time_certificate,time_solve,time_estimator,time_total_cumulative,peak_memory_mb
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,0,InitializeReferenceEpoch,initialized fixed evaluation-reference epoch for uniform FEM,9,81,,,5.6568542494923806,,,,,,,,0,0,0,0,0,0,0,0,4.7999999999999996e-07,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,1,SolveUniformFem,solved conforming P1 FEM on the current uniform mesh,9,81,,,5.6568542494923806,,,,,,0.9300592652739077,0.86465689896370335,0,0,0,0,0,0,8.8720000000000004e-05,0,9.0260000000000007e-05,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,2,RefineUniformFem,uniformly refined every conforming P1 element,13,81,,,4,,,,,,,,8,0,0,0.0018435039999999999,0,0,0,0,0.0019347539999999999,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,3,SolveUniformFem,solved conforming P1 FEM on the current uniform mesh,13,81,,,4,,,,,,0.83914657859388442,0.74718921722144016,0,0,0,0,0,0,0.000110689,0,0.0020479929999999997,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,4,RefineUniformFem,uniformly refined every conforming P1 element,25,81,,,2.8284271247461903,,,,,,,,16,0,0,0.001967154,0,0,0,0,0.0040159369999999998,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,5,SolveUniformFem,solved conforming P1 FEM on the current uniform mesh,25,81,,,2.8284271247461903,,,,,,0.61115966392951782,0.51068388610547411,0,0,0,0,0,0,0.000214849,0,0.0042329459999999996,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,6,RefineUniformFem,uniformly refined every conforming P1 element,41,81,,,2,,,,,,,,32,0,0,0.0023584119999999998,0,0,0,0,0.0065924879999999996,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,7,SolveUniformFem,solved conforming P1 FEM on the current uniform mesh,41,81,,,2,,,,,,0.40251545275089706,0.29917482238035481,0,0,0,0,0,0,0.00040151800000000001,0,0.006996426,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,8,RefineUniformFem,uniformly refined every conforming P1 element,81,81,,,1.4142135623730951,,,,,,,,64,0,0,0.0025178219999999999,0,0,0,0,0.0095154880000000008,5
2,R1,UFEM,8,R1_UFEM_k8_r0_0764a0730cfcde3c,0,9,SolveUniformFem,solved conforming P1 FEM on the current uniform mesh,81,81,,,1.4142135623730951,,,,,,0,0,0,0,0,0,0,0,0.00049720799999999996,0,0.010014826000000001,5
