study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
H,1,2,8,3,289,0.707106781187,0.0883883476483,1.99079076713,0.205817025842,0.417641417258,0.0112167717964,1.92395293126,0.198639296987,nan,nan,nan,1.76907134835e-15,1.03582300844e-15,3.87158724463e-16
H,1,3,8,3,289,0.5,0.0883883476483,1.4700162512,0.126223018263,0.417641417258,0.0112167717964,1.39168487179,0.119400069521,nan,0.875018993834,1.41077460933,3.26771217821e-15,9.32524621266e-16,2.02301076454e-16
H,1,4,8,3,289,0.353553390593,0.0883883476483,0.898399093708,0.0562828997131,0.417641417258,0.0112167717964,0.784049234068,0.0497317157813,nan,1.42080745365,2.33041292626,2.11420821805e-15,7.73913697462e-16,2.3119286634e-16
H,1,5,8,3,289,0.25,0.0883883476483,0.599855323978,0.0245849156725,0.417641417258,0.0112167717964,0.42419475821,0.0174275985415,nan,1.16548377179,2.38984650391,2.33708515698e-15,9.49253541452e-16,2.11701405518e-16
H,1,6,8,3,289,0.176776695297,0.0883883476483,0.459648032039,0.0135415605612,0.417641417258,0.0112167717964,0.189158506109,0.00485655224043,nan,0.768170045372,1.72075879719,6.94839348986e-15,6.12377905153e-16,4.82284761951e-16
H,1,7,8,3,289,0.125,0.0883883476483,0.421467239342,0.0114116037538,0.417641417258,0.0112167717964,0.0556621574997,0.000739075830217,nan,0.250218137967,0.493784899993,4.69221048404e-15,5.02987229112e-16,3.55966996229e-16
H,2,2,8,3,1089,0.707106781187,0.0883883476483,1.98265763831,0.207167792829,0.0368206950662,0.000365059560459,1.98215262971,0.207118515441,nan,nan,nan,4.17624496813e-15,3.83494415912e-15,8.90836332189e-16
H,2,3,8,3,1089,0.5,0.0883883476483,1.4422224551,0.126116392726,0.0368206950662,0.000365059560459,1.44161012438,0.126065150127,nan,0.918283734811,1.43208784473,4.91142096738e-15,2.88728548604e-15,4.0611243735e-16
H,2,4,8,3,1089,0.353553390593,0.0883883476483,0.840858967549,0.0552064350557,0.0368206950662,0.000365059560459,0.839964416676,0.0551633018146,nan,1.55671591762,2.38369492636,5.62112726762e-15,1.64345653018e-15,7.23121042016e-16
H,2,5,8,3,1089,0.25,0.0883883476483,0.505230482612,0.0227960752653,0.0368206950662,0.000365059560459,0.503827118107,0.0227517640057,nan,1.46984432078,2.55210196257,5.11254567405e-15,1.123008409e-15,2.69695647114e-16
H,2,6,8,3,1089,0.176776695297,0.0883883476483,0.27317545186,0.00804720122301,0.0368206950662,0.000365059560459,0.270658446301,0.0080133785581,nan,1.77422767935,3.00445289556,7.65054062807e-15,7.80552879199e-16,2.71962771289e-16
H,2,7,8,3,1089,0.125,0.0883883476483,0.133211975121,0.00236463288576,0.0368206950662,0.000365059560459,0.128045441028,0.00237601990429,nan,2.0722081322,3.53374177744,8.82091093682e-15,5.66015111442e-16,2.08383003084e-16
H,3,2,8,3,2401,0.707106781187,0.0883883476483,1.98268326151,0.2071792848,0.00219471127598,1.43973879479e-05,1.98268153974,0.207179133338,nan,nan,nan,6.46771935589e-15,9.17695863881e-15,5.15805526345e-16
H,3,3,8,3,2401,0.5,0.0883883476483,1.44224547807,0.126133683156,0.00219471127598,1.43973879479e-05,1.44224331781,0.126133507677,nan,0.918274963707,1.43185234111,7.367639324e-15,7.27021214572e-15,6.22341067354e-16
H,3,4,8,3,2401,0.353553390593,0.0883883476483,0.841610487165,0.0552952278131,0.00219471127598,1.43973879479e-05,0.841607304883,0.055295073861,nan,1.55418430607,2.37945341652,6.50550816007e-15,5.55793639232e-15,5.94682153521e-16
H,3,5,8,3,2401,0.25,0.0883883476483,0.507506353978,0.0229807405529,0.00219471127598,1.43973879479e-05,0.507501254665,0.0229804926888,nan,1.45945359394,2.53345937263,7.13011045347e-15,4.66967530745e-15,1.13208795142e-15
H,3,6,8,3,2401,0.176776695297,0.0883883476483,0.278099855366,0.00828924477814,0.00219471127598,1.43973879479e-05,0.278090941201,0.00828896516586,nan,1.73564578115,2.94222543732,1.46527978117e-14,1.65202481028e-15,3.62937464425e-16
H,3,7,8,3,2401,0.125,0.0883883476483,0.14671766628,0.00281294106734,0.00219471127598,1.43973879479e-05,0.146700290076,0.0028113348549,nan,1.84512079586,3.11832267601,2.63638089605e-14,1.29411962309e-15,3.87142958106e-16
