study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
ell,1,4,10,1,1089,0.353553390593,0.0441941738242,0.926010558552,0.0614678573099,0.20884224532,0.00284300662188,0.898721540719,0.0598029697144,nan,nan,nan,5.05366288439e-15,1.34836081127e-15,3.78414171055e-16
ell,1,4,10,2,1089,0.353553390593,0.0441941738242,0.854963278587,0.0553156267225,0.20884224532,0.00284300662188,0.825984670299,0.0537675750545,0.144431390125,nan,nan,2.43154095268e-15,1.4296599251e-15,3.41669493951e-16
ell,1,4,10,3,1089,0.353553390593,0.0441941738242,0.855064522921,0.0553425216726,0.20884224532,0.00284300662188,0.826093764546,0.0537973284464,0.0073390983076,nan,nan,4.1860727383e-15,1.4296599251e-15,8.538228773e-16
ell,1,4,10,4,1089,0.353553390593,0.0441941738242,0.855064522921,0.0553425216726,0.20884224532,0.00284300662188,0.826093764546,0.0537973284464,0,nan,nan,4.1860727383e-15,1.4296599251e-15,8.538228773e-16
ell,1,4,10,5,1089,0.353553390593,0.0441941738242,0.855064522921,0.0553425216726,0.20884224532,0.00284300662188,0.826093764546,0.0537973284464,0,nan,nan,4.1860727383e-15,1.4296599251e-15,8.538228773e-16
ell,2,4,10,1,4225,0.353553390593,0.0441941738242,0.905761448932,0.0606480167515,0.00932718326088,4.66433616376e-05,0.905707252655,0.0606451134445,nan,nan,nan,6.68034361256e-15,4.15187760512e-15,8.49463561878e-16
ell,2,4,10,2,4225,0.353553390593,0.0441941738242,0.84160282098,0.055271807569,0.00932718326088,4.66433616376e-05,0.8415453806,0.0552690447533,0.134811243455,nan,nan,9.04909116529e-15,6.12851827166e-15,8.39005404673e-16
ell,2,4,10,3,4225,0.353553390593,0.0441941738242,0.841557960014,0.0552894678323,0.00932718326088,4.66433616376e-05,0.841500516391,0.0552867057297,0.007034650388,nan,nan,4.88971179073e-15,6.12851827166e-15,8.39005404673e-16
ell,2,4,10,4,4225,0.353553390593,0.0441941738242,0.841557960014,0.0552894678323,0.00932718326088,4.66433616376e-05,0.841500516391,0.0552867057297,0,nan,nan,4.88971179073e-15,6.12851827166e-15,8.39005404673e-16
ell,2,4,10,5,4225,0.353553390593,0.0441941738242,0.841557960014,0.0552894678323,0.00932718326088,4.66433616376e-05,0.841500516391,0.0552867057297,0,nan,nan,4.88971179073e-15,6.12851827166e-15,8.39005404673e-16
ell,3,4,10,1,9409,0.353553390593,0.0441941738242,0.90564058221,0.0606402248404,0.000275371208884,8.94786331249e-07,0.905640535209,0.0606402223991,nan,nan,nan,6.52926758544e-15,1.19846741087e-14,4.86143572904e-16
ell,3,4,10,2,9409,0.353553390593,0.0441941738242,0.841666721503,0.0552780541833,0.000275371208884,8.94786331249e-07,0.841666671841,0.0552780519939,0.134397541068,nan,nan,1.58236912474e-14,1.51989784814e-14,2.71960533211e-15
ell,3,4,10,3,9409,0.353553390593,0.0441941738242,0.841621396173,0.0552957083445,0.000275371208884,8.94786331249e-07,0.841621346497,0.0552957061493,0.00702531101399,nan,nan,2.27576242787e-14,1.51989784814e-14,1.85051854142e-15
ell,3,4,10,4,9409,0.353553390593,0.0441941738242,0.841621396173,0.0552957083445,0.000275371208884,8.94786331249e-07,0.841621346497,0.0552957061493,0,nan,nan,2.27576242787e-14,1.51989784814e-14,1.85051854142e-15
ell,3,4,10,5,9409,0.353553390593,0.0441941738242,0.841621396173,0.0552957083445,0.000275371208884,8.94786331249e-07,0.841621346497,0.0552957061493,0,nan,nan,2.27576242787e-14,1.51989784814e-14,1.85051854142e-15
