study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
ell,1,4,8,1,289,0.353553390593,0.0883883476483,0.989981508437,0.0649407410481,0.417641417258,0.0112167717964,0.884223557882,0.0578293358964,nan,nan,nan,1.56248189598e-15,5.67109527751e-16,3.42235711157e-16
ell,1,4,8,2,289,0.353553390593,0.0883883476483,0.897879931486,0.056227487769,0.417641417258,0.0112167717964,0.783448751755,0.0496660825961,0.176713455056,nan,nan,1.82544639807e-15,6.72965768498e-16,2.23574808336e-16
ell,1,4,8,3,289,0.353553390593,0.0883883476483,0.898399093708,0.0562828997131,0.417641417258,0.0112167717964,0.784049234068,0.0497317157813,0.00822118076832,nan,nan,2.11420821805e-15,7.73913697462e-16,2.3119286634e-16
ell,1,4,8,4,289,0.353553390593,0.0883883476483,0.898399093708,0.0562828997131,0.417641417258,0.0112167717964,0.784049234068,0.0497317157813,0,nan,nan,2.11420821805e-15,7.73913697462e-16,2.3119286634e-16
ell,2,4,8,1,1089,0.353553390593,0.0883883476483,0.906516134108,0.0606814294359,0.0368206950662,0.000365059560459,0.905673684499,0.0606361998249,nan,nan,nan,3.30069222958e-15,1.78831426433e-15,4.60014295447e-16
ell,2,4,8,2,1089,0.353553390593,0.0883883476483,0.840878758188,0.0551868617116,0.0368206950662,0.000365059560459,0.83998422171,0.0551437138402,0.137655599396,nan,nan,6.77817635704e-15,1.71498909336e-15,3.81556220529e-16
ell,2,4,8,3,1089,0.353553390593,0.0883883476483,0.840858967549,0.0552064350557,0.0368206950662,0.000365059560459,0.839964416676,0.0551633018146,0.00711727916361,nan,nan,5.62112726762e-15,1.64345653018e-15,7.23121042016e-16
ell,2,4,8,4,1089,0.353553390593,0.0883883476483,0.840858967549,0.0552064350557,0.0368206950662,0.000365059560459,0.839964416676,0.0551633018146,0,nan,nan,5.62112726762e-15,1.64345653018e-15,7.23121042016e-16
ell,3,4,8,1,2401,0.353553390593,0.0883883476483,0.90573955146,0.0606475900217,0.00219471127598,1.43973879479e-05,0.905736538183,0.0606474189793,nan,nan,nan,5.92083975718e-15,3.46536258969e-15,5.08391182331e-16
ell,3,4,8,2,2401,0.353553390593,0.0883883476483,0.841657181397,0.0552777066302,0.00219471127598,1.43973879479e-05,0.841653999906,0.055277553033,0.134671676856,nan,nan,3.6520960116e-15,5.55793639232e-15,5.40376327507e-16
ell,3,4,8,3,2401,0.353553390593,0.0883883476483,0.841610487165,0.0552952278131,0.00219471127598,1.43973879479e-05,0.841607304883,0.055295073861,0.00703060294585,nan,nan,6.50550816007e-15,5.55793639232e-15,5.94682153521e-16
ell,3,4,8,4,2401,0.353553390593,0.0883883476483,0.841610487165,0.0552952278131,0.00219471127598,1.43973879479e-05,0.841607304883,0.055295073861,0,nan,nan,6.50550816007e-15,5.55793639232e-15,5.94682153521e-16
