study,p,H_level,h_level,ell,fine_dofs,H,h,exact_energy,exact_l2,fine_energy,fine_l2,lod_fine_energy,lod_fine_l2,delta,rate_energy,rate_l2,petrov_residual,corrector_residual,constraint_residual
fem,1,-1,4,-1,25,nan,0.353553390593,1.5263095229,0.12908029139,1.5263095229,0.12908029139,0,0,nan,nan,nan,3.09744504681e-16,0,0
fem,1,-1,6,-1,81,nan,0.176776695297,0.832072404066,0.0424513461174,0.832072404066,0.0424513461174,0,0,nan,0.875266581136,1.60438653275,1.38870896233e-15,0,0
fem,1,-1,8,-1,289,nan,0.0883883476483,0.417641417258,0.0112167717964,0.417641417258,0.0112167717964,0,0,nan,0.99444428193,1.92015277596,4.01720715567e-15,0,0
fem,1,-1,10,-1,1089,nan,0.0441941738242,0.20884224532,0.00284300662188,0.20884224532,0.00284300662188,0,0,nan,0.999851215545,1.98016816147,1.01023378775e-14,0,0
fem,1,-1,12,-1,4225,nan,0.0220970869121,0.104416483785,0.00071318351116,0.104416483785,0.00071318351116,0,0,nan,1.0000640927,1.99507220604,2.21314691274e-14,0,0
fem,2,-1,4,-1,81,nan,0.353553390593,0.510765511439,0.0203204220778,0.510765511439,0.0203204220778,0,0,nan,nan,nan,1.59450682366e-15,0,0
fem,2,-1,6,-1,289,nan,0.176776695297,0.141039388378,0.00274883522381,0.141039388378,0.00274883522381,0,0,nan,1.85656298935,2.88603803517,5.40664147343e-15,0,0
fem,2,-1,8,-1,1089,nan,0.0883883476483,0.0368206950662,0.000365059560459,0.0368206950662,0.000365059560459,0,0,nan,1.9375093576,2.9126166606,1.44119821067e-14,0,0
fem,2,-1,10,-1,4225,nan,0.0441941738242,0.00932718326088,4.66433616376e-05,0.00932718326088,4.66433616376e-05,0,0,nan,1.98100349185,2.96838818882,3.14462174016e-14,0,0
fem,2,-1,12,-1,16641,nan,0.0220970869121,0.00234096335365,5.87304978458e-06,0.00234096335365,5.87304978458e-06,0,0,nan,1.9943391137,2.98948999647,6.88696130263e-14,0,0
fem,3,-1,4,-1,169,nan,0.353553390593,0.12426098355,0.00341587269942,0.12426098355,0.00341587269942,0,0,nan,nan,nan,3.80116083775e-15,0,0
fem,3,-1,6,-1,625,nan,0.176776695297,0.0171995598824,0.000231373269271,0.0171995598824,0.000231373269271,0,0,nan,2.8529298251,3.88396010698,1.3272081925e-14,0,0
fem,3,-1,8,-1,2401,nan,0.0883883476483,0.00219471127598,1.43973879478e-05,0.00219471127598,1.43973879478e-05,0,0,nan,2.97026858403,4.00634319946,2.62964387547e-14,0,0
fem,3,-1,10,-1,9409,nan,0.0441941738242,0.000275371208884,8.94786331249e-07,0.000275371208884,8.94786331249e-07,0,0,nan,2.99458152613,4.00812006566,5.88079598635e-14,0,0
fem,3,-1,12,-1,37249,nan,0.0220970869121,3.44504290219e-05,5.58145527578e-08,3.44504290219e-05,5.58145527578e-08,0,0,nan,2.99878387357,4.00282998194,1.39407062099e-13,0,0
