iteration,k,ell,mark,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,2,4,fraction,coarse,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,8.4852813742385642,8.4852813742385642,8.485281374238566,8.485281374238566,8.485281374238566,8.485281374238566,7,3,0.91666666666666663,0.75,1,0,8.544003745317525,3,3.999999999999996,0,4.2414822972606285e-16,3.8933848534800047e-16,1,1,645.60573899999997,4.2657400000000001
0,2,4,fraction,coarse,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,3.6044828737838008,3.6044828737838026,4.2811750887122884,4.2811750887122892,4.2811750887122892,4.2811750887122892,10,3,0.083333333333333329,0.75,1,0,4.316106271051761,7,8.3736389961776165,0,4.9043135335700943e-16,0,6,2.2360679774997898,645.60573899999997,29.804925000000001
0,2,4,fraction,trial,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,41.827281128247037,41.827287005818647,64.224019734577254,64.224019891548352,64.224019891548352,64.224019891548352,2,3,0.25,0.58333333333333337,0,0,64.231804669150208,13,1376324184.7003155,3.0963536795529037e-16,2.989946523261817e-15,6.269891956947273e-12,1,1,645.60573899999997,40.486218999999998
0,2,4,fraction,trial,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,2.7871341947107271,2.7871341947107666,3.4017874377964827,3.4017874377977031,3.4017874377977031,3.4017874377977031,10,3,0.083333333333333329,0.75,1,0,3.4512364551138393,13,13543633.649908543,1.0903431556842889e-16,7.1313325746343523e-16,0,6,2.2360679774997898,645.60573899999997,77.990379000000004
0,2,4,fraction,test,element,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,41.827281128247037,41.827287005818647,64.224019734577254,64.224019891548352,64.224019891548352,64.224019891548352,2,3,0.25,0.58333333333333337,0,0,64.231804669150208,13,1376324184.7003155,3.0963536795529037e-16,2.989946523261817e-15,6.269891956947273e-12,1,1,645.60573899999997,89.492603000000003
0,2,4,fraction,test,patch1,13,16,4225,8192,3,3,0,0.5,0.5,1,1,0.044194173824159223,0.044194173824159223,0,0,0,5.4583746994685725e-17,1,1.2237505630369289e-14,4.9749556393458985e-15,4.9752901326747098e-15,1.0503703018329559e-15,0,2.7871341947107271,2.7871341947107666,3.4017874377964827,3.4017874377977031,3.4017874377977031,3.4017874377977031,10,3,0.083333333333333329,0.75,1,0,3.4512364551138393,13,13543633.649908543,1.0903431556842889e-16,7.1313325746343523e-16,0,6,2.2360679774997898,645.60573899999997,129.977296
1,2,4,fraction,coarse,element,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,7.3363954867283894e-15,4.1735126461870272e-15,4.1736033318502764e-15,8.6676802052936841e-16,0,8.4852813742385624,8.4852813742385713,8.4852813742385713,8.4852813742385766,8.4852813742385766,12,3,3,0.25,0.91666666666666663,1,0,8.5440037453175375,3,4.0000000000000071,5.5511151231257839e-17,1.1645185369284679e-16,0,1,1,1071.699936,5.6752789999999997
1,2,4,fraction,coarse,patch1,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,7.3363954867283894e-15,4.1735126461870272e-15,4.1736033318502764e-15,8.6676802052936841e-16,0,3.1615770311083358,3.6706955245748776,4.4140684523883582,4.8623641932093244,4.8623641932093244,6.8764213872339388,13,4,0.16666666666666666,0.083333333333333329,1,0,4.8809561487072788,9,9.2749172176353554,0,4.5575064409956886e-16,0,8,2,1071.699936,34.265388000000002
1,2,4,fraction,trial,element,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,7.3363954867283894e-15,4.1735126461870272e-15,4.1736033318502764e-15,8.6676802052936841e-16,0,42.646155977882984,73.586755076296186,91.202863989901857,99.699585158461502,99.699585158461502,128.98032718178797,0,3,0.58333333333333337,0.75,0,0,99.704600098782038,15,41476147230.558105,1.3108402321048811e-16,2.9483140139245594e-15,8.925685355428913e-12,1,1,1071.699936,50.943157999999997
1,2,4,fraction,trial,patch1,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,7.3363954867283894e-15,4.1735126461870272e-15,4.1736033318502764e-15,8.6676802052936841e-16,0,2.4450314080625977,2.9195514957265503,3.4031262570722256,3.9427424350494289,3.9427424350494289,5.5758798245908237,18,4,0.083333333333333329,0.16666666666666666,1,0,3.9682128865840247,17,395875442.51603568,1.552575022970863e-16,6.2825647878764436e-16,0,8,2,1071.699936,109.088494
1,2,4,fraction,test,element,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,7.3363954867283894e-15,4.1735126461870272e-15,4.1736033318502764e-15,8.6676802052936841e-16,0,42.646155977882984,73.586755076296186,91.202863989901857,99.699585158461502,99.699585158461502,128.98032718178797,0,3,0.58333333333333337,0.75,0,0,99.704600098782038,15,41476147230.558105,1.3108402321048811e-16,2.9483140139245594e-15,8.925685355428913e-12,1,1,1071.699936,124.391487
1,2,4,fraction,test,patch1,17,22,4225,8192,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.044194173824159223,0.0625,4,2,6,5.6529671697176664e-15,1,7.3363954867283894e-15,4.1735126461870272e-15,4.1736033318502764e-15,8.6676802052936841e-16,0,2.4450314080625977,2.9195514957265503,3.4031262570722256,3.9427424350494289,3.9427424350494289,5.5758798245908237,18,4,0.083333333333333329,0.16666666666666666,1,0,3.9682128865840247,17,395875442.51603568,1.552575022970863e-16,6.2825647878764436e-16,0,8,2,1071.699936,179.27391700000001
2,2,4,fraction,coarse,element,20,28,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,3,3,6,7.0223058394034108e-15,1,1.1491207159639925e-14,4.3508202247759547e-15,4.3512259787041447e-15,6.3300143009843226e-16,0,8.4852813742385536,8.485281374238566,8.4852813742385766,8.4852813742385944,8.4852813742385944,16.970562748477132,11,4,0.58333333333333337,0.33333333333333331,0,1,8.5146931829632244,3,4.0000000000000195,0,1.9204287646091331e-16,1.5313421029312417e-18,1,1,1426.7292499999999,6.0875009999999996
2,2,4,fraction,coarse,patch1,20,28,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,3,3,6,7.0223058394034108e-15,1,1.1491207159639925e-14,4.3508202247759547e-15,4.3512259787041447e-15,6.3300143009843226e-16,0,3.1851653402209252,3.5761041389104413,4.316412977630617,4.498920293654403,4.498920293654403,8.5623501774245714,6,3,0.083333333333333329,0.75,1,1,4.5356323287336737,8,27.283707140630696,0,5.0721789936176643e-16,0,7,1.8027756377319946,1426.7292499999999,34.616329
2,2,4,fraction,trial,element,20,28,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,3,3,6,7.0223058394034108e-15,1,1.1491207159639925e-14,4.3508202247759547e-15,4.3512259787041447e-15,6.3300143009843226e-16,0,37.186054133125644,60.29319787484075,84.363730667613922,95.775251728749382,95.775251728749382,130.85241643621541,9,3,0.75,0.58333333333333337,0,0,95.78047214178082,15,22296663239.688934,1.6415681384724019e-16,1.0719357236377841e-14,3.1189250944715816e-13,1,1,1426.7292499999999,53.618411000000002
2,2,4,fraction,trial,patch1,20,28,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,3,3,6,7.0223058394034108e-15,1,1.1491207159639925e-14,4.3508202247759547e-15,4.3512259787041447e-15,6.3300143009843226e-16,0,2.4511454813800446,2.809173239397726,3.40761706702515,3.4197293060986298,3.4197293060986298,6.8152341340503,2,3,0.75,0.083333333333333329,1,1,3.4639168966240375,20,4393272776.2352943,2.064498150423795e-16,9.8219351068079253e-16,0,7,1.8027756377319946,1426.7292499999999,121.193511
2,2,4,fraction,test,element,20,28,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,3,3,6,7.0223058394034108e-15,1,1.1491207159639925e-14,4.3508202247759547e-15,4.3512259787041447e-15,6.3300143009843226e-16,0,37.186054133125644,60.29319787484075,84.363730667613922,95.775251728749382,95.775251728749382,130.85241643621541,9,3,0.75,0.58333333333333337,0,0,95.78047214178082,15,22296663239.688934,1.6415681384724019e-16,1.0719357236377841e-14,3.1189250944715816e-13,1,1,1426.7292499999999,141.546313
2,2,4,fraction,test,patch1,20,28,4225,8192,3,5,2,0.25,0.5,2,1.4142135623730951,0.044194173824159223,0.088388347648318447,3,3,6,7.0223058394034108e-15,1,1.1491207159639925e-14,4.3508202247759547e-15,4.3512259787041447e-15,6.3300143009843226e-16,0,2.4511454813800446,2.809173239397726,3.40761706702515,3.4197293060986298,3.4197293060986298,6.8152341340503,2,3,0.75,0.083333333333333329,1,1,3.4639168966240375,20,4393272776.2352943,2.064498150423795e-16,9.8219351068079253e-16,0,7,1.8027756377319946,1426.7292499999999,210.22546399999999
3,2,4,fraction,coarse,element,24,36,4225,8192,3,6,3,0.17677669529663689,0.5,2.8284271247461898,1.4142135623730951,0.044194173824159223,0.125,3,4,7,7.5956080380883904e-15,1,1.0939545884113051e-14,4.3094477327800841e-15,4.3102151056249862e-15,6.0385560948562307e-16,0,8.4852813742385536,8.4852813742385695,8.4852813742385766,8.4852813742385926,8.4852813742385926,24,11,4,0.58333333333333337,0.33333333333333331,0,1,8.5146931829632209,3,4.000000000000016,0,4.1230104743209414e-16,5.8956670962852829e-16,1,1,1442.763136,6.7873010000000003
3,2,4,fraction,coarse,patch1,24,36,4225,8192,3,6,3,0.17677669529663689,0.5,2.8284271247461898,1.4142135623730951,0.044194173824159223,0.125,3,4,7,7.5956080380883904e-15,1,1.0939545884113051e-14,4.3094477327800841e-15,4.3102151056249862e-15,6.0385560948562307e-16,0,3.1083978413075619,3.3690261193208846,4.3669970062358567,4.498920293654403,4.498920293654403,9.3737977121930331,6,3,0.083333333333333329,0.75,1,1,4.5356323287336773,8,27.283707140630689,3.6781086867836402e-17,9.5530701035475537e-16,0,7,1.8027756377319946,1442.763136,36.463323000000003
3,2,4,fraction,trial,element,24,36,4225,8192,3,6,3,0.17677669529663689,0.5,2.8284271247461898,1.4142135623730951,0.044194173824159223,0.125,3,4,7,7.5956080380883904e-15,1,1.0939545884113051e-14,4.3094477327800841e-15,4.3102151056249862e-15,6.0385560948562307e-16,0,39.915270056145879,52.227027104037965,83.781337417226439,98.134821799382024,98.134821799382024,149.46230767141461,9,3,0.75,0.58333333333333337,0,0,98.139916698754234,16,41122797876.133102,1.179163292548356e-16,3.2308318266769304e-14,4.3560440014387498e-12,1,1,1442.763136,63.957974
3,2,4,fraction,trial,patch1,24,36,4225,8192,3,6,3,0.17677669529663689,0.5,2.8284271247461898,1.4142135623730951,0.044194173824159223,0.125,3,4,7,7.5956080380883904e-15,1,1.0939545884113051e-14,4.3094477327800841e-15,4.3102151056249862e-15,6.0385560948562307e-16,0,2.4127816997045053,2.9565438051038919,6.2374173294504205,8.2372562449320519,8.2372562449320519,14.182515228446347,4,3,0.91666666666666663,0.75,1,0,8.2672471258034914,22,594827442774.79944,2.532691773917759e-16,2.6199712727998823e-15,0,6,2.2360679774997898,1442.763136,158.05110999999999
