iteration,k,ell,mark,basis,denominator,coarse_nodes,coarse_elements,fine_nodes,fine_elements,L_min,L_max,level_gap,H_min,H_max,grading_ratio,neighbor_ratio,q_min,q_max,marked,closure_added,refined_total,nesting_residual,fixed_fine_mesh,petrov_residual,primal_residual,adjoint_residual,constraint_residual,trial_test_conjugacy,min,median,p90,p99,max,global_H_scaled_max,argmax,argmax_level,argmax_x,argmax_y,argmax_boundary,argmax_transition,argmax_energy,mass_rank,mass_condition,hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,build_ms,inverse_ms
0,2,3,fraction,coarse,element,13,16,2113,4096,3,3,0,0.5,0.5,1,1,0.0625,0.0625,0,0,0,7.0322771222743989e-17,1,9.9565740827449386e-15,2.6653174606914466e-15,2.6653223317334619e-15,4.4776857277673303e-16,0,8.4852813742385695,8.4852813742385695,8.4852813742385695,8.4852813742385695,8.4852813742385695,8.4852813742385695,15,3,0.75,0.58333333333333337,0,0,8.5440037453175304,3,4.0000000000000018,0,2.7394564330394397e-16,0,1,1,182.651622,2.2979630000000002
0,2,3,fraction,coarse,patch1,13,16,2113,4096,3,3,0,0.5,0.5,1,1,0.0625,0.0625,0,0,0,7.0322771222743989e-17,1,9.9565740827449386e-15,2.6653174606914466e-15,2.6653223317334619e-15,4.4776857277673303e-16,0,3.6044828737838066,3.6044828737838093,4.281175088712291,4.2811750887122919,4.2811750887122919,4.2811750887122919,5,3,0.25,0.91666666666666663,1,0,4.3161062710517646,7,8.3736389961775988,0,6.0892852764743691e-16,0,6,2.2360679774997898,182.651622,17.374303000000001
0,2,3,fraction,trial,element,13,16,2113,4096,3,3,0,0.5,0.5,1,1,0.0625,0.0625,0,0,0,7.0322771222743989e-17,1,9.9565740827449386e-15,2.6653174606914466e-15,2.6653223317334619e-15,4.4776857277673303e-16,0,62.016729082061509,62.016734040676866,92.59151952366237,92.59152041376916,92.59152041376916,92.59152041376916,4,3,0.75,0.083333333333333329,1,0,92.596920319173634,12,193298112911.35092,8.9129157850366393e-17,7.4020291243707433e-14,7.2263664046930972e-12,1,1,182.651622,23.19557
0,2,3,fraction,trial,patch1,13,16,2113,4096,3,3,0,0.5,0.5,1,1,0.0625,0.0625,0,0,0,7.0322771222743989e-17,1,9.9565740827449386e-15,2.6653174606914466e-15,2.6653223317334619e-15,4.4776857277673303e-16,0,2.7925575378427596,2.7925575378427814,3.407904330381982,3.4079043303835439,3.4079043303835439,3.4079043303835439,6,3,0.083333333333333329,0.25,1,0,3.4571889223085486,13,14051005.628956642,1.5184139486132571e-16,1.5801359902381123e-15,0,6,2.2360679774997898,182.651622,41.286645999999998
0,2,3,fraction,test,element,13,16,2113,4096,3,3,0,0.5,0.5,1,1,0.0625,0.0625,0,0,0,7.0322771222743989e-17,1,9.9565740827449386e-15,2.6653174606914466e-15,2.6653223317334619e-15,4.4776857277673303e-16,0,62.016729082061509,62.016734040676866,92.59151952366237,92.59152041376916,92.59152041376916,92.59152041376916,4,3,0.75,0.083333333333333329,1,0,92.596920319173634,12,193298112911.35092,8.9129157850366393e-17,7.4020291243707433e-14,7.2263664046930972e-12,1,1,182.651622,47.177098000000001
0,2,3,fraction,test,patch1,13,16,2113,4096,3,3,0,0.5,0.5,1,1,0.0625,0.0625,0,0,0,7.0322771222743989e-17,1,9.9565740827449386e-15,2.6653174606914466e-15,2.6653223317334619e-15,4.4776857277673303e-16,0,2.7925575378427596,2.7925575378427814,3.407904330381982,3.4079043303835439,3.4079043303835439,3.4079043303835439,6,3,0.083333333333333329,0.25,1,0,3.4571889223085486,13,14051005.628956642,1.5184139486132571e-16,1.5801359902381123e-15,0,6,2.2360679774997898,182.651622,65.054741000000007
1,2,3,fraction,coarse,element,17,22,2113,4096,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.0625,0.088388347648318433,4,2,6,1.2588888591861386e-15,1,6.6001899468466339e-15,2.5151130733088571e-15,2.51510151885663e-15,3.777232833729734e-16,0,8.4852813742385678,8.4852813742385678,8.4852813742385749,8.4852813742385944,8.4852813742385944,11.999999999999996,3,3,0.25,0.91666666666666663,1,0,8.5440037453175552,3,4.0000000000000195,0,1.9270719855328678e-16,0,1,1,142.15824700000002,1.583086
1,2,3,fraction,coarse,patch1,17,22,2113,4096,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.0625,0.088388347648318433,4,2,6,1.2588888591861386e-15,1,6.6001899468466339e-15,2.5151130733088571e-15,2.51510151885663e-15,3.777232833729734e-16,0,3.1615770311083353,3.67069552457489,4.4140684523883627,4.8623641932093307,4.8623641932093307,6.8764213872339477,18,4,0.083333333333333329,0.16666666666666666,1,0,4.880956148707285,9,9.2749172176353714,0,4.0050861696417232e-16,0,8,2,142.15824700000002,16.365773000000001
1,2,3,fraction,trial,element,17,22,2113,4096,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.0625,0.088388347648318433,4,2,6,1.2588888591861386e-15,1,6.6001899468466339e-15,2.5151130733088571e-15,2.51510151885663e-15,3.777232833729734e-16,0,35.64186038480279,60.173145392319078,79.322154830382246,93.760669717722379,93.760669717722379,93.760669717722379,4,3,0.91666666666666663,0.75,1,0,93.766002293837232,12,44933016281.553802,9.6908960373348178e-17,1.8011508257613403e-14,2.8669773096368387e-11,1,1,142.15824700000002,24.942682999999999
1,2,3,fraction,trial,patch1,17,22,2113,4096,3,4,1,0.35355339059327379,0.5,1.4142135623730949,1.4142135623730949,0.0625,0.088388347648318433,4,2,6,1.2588888591861386e-15,1,6.6001899468466339e-15,2.5151130733088571e-15,2.51510151885663e-15,3.777232833729734e-16,0,2.4482361616969248,2.9306691434203573,3.4097645512635824,3.951839488994755,3.951839488994755,5.5887450016579434,13,4,0.16666666666666666,0.083333333333333329,1,0,3.9772987501537416,17,377109697.18987966,1.7979516684061093e-16,1.7165732293417287e-15,0,8,2,142.15824700000002,53.219389
