iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
0,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
0,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
0,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
0,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
0,4,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
0,5,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
0,6,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
0,7,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
0,8,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
0,9,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
0,10,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
0,11,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
0,12,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
0,13,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
0,14,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
0,15,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,0,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
1,1,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
1,2,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
1,3,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
1,4,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
1,5,17,1,4,16,9,5,0.5,0.25,0.25,0.25,0.5,0
1,6,18,2,4,19,11,8,0.5,0.75,0.75,0.75,0.5,1
1,7,19,3,4,17,12,6,0.25,0.5,0.25,0.75,0,0.5
1,8,20,4,4,18,10,7,0.75,0.5,0.75,0.25,1,0.5
1,9,21,6,4,15,12,8,0.25,1,0.25,0.75,0.5,1
1,10,22,7,4,13,9,6,0,0.25,0.25,0.25,0,0.5
1,11,23,11,4,14,12,3,0,0.75,0.25,0.75,0,1
1,12,24,13,4,16,10,4,0.5,0.25,0.75,0.25,0.5,0.5
1,13,25,14,4,19,12,4,0.5,0.75,0.25,0.75,0.5,0.5
1,14,26,15,4,17,9,4,0.25,0.5,0.25,0.25,0.5,0.5
1,15,27,16,4,18,11,4,0.75,0.5,0.75,0.75,0.5,0.5
1,16,28,1,4,16,4,9,0.5,0.25,0.5,0.5,0.25,0.25
1,17,29,2,4,19,4,11,0.5,0.75,0.5,0.5,0.75,0.75
1,18,30,3,4,17,4,12,0.25,0.5,0.5,0.5,0.25,0.75
1,19,31,4,4,18,4,10,0.75,0.5,0.5,0.5,0.75,0.25
1,20,32,6,4,15,3,12,0.25,1,0,1,0.25,0.75
1,21,33,7,4,13,0,9,0,0.25,0,0,0.25,0.25
1,22,34,11,4,14,6,12,0,0.75,0,0.5,0.25,0.75
1,23,35,13,4,16,5,10,0.5,0.25,0.5,0,0.75,0.25
1,24,36,14,4,19,8,12,0.5,0.75,0.5,1,0.25,0.75
1,25,37,15,4,17,6,9,0.25,0.5,0,0.5,0.25,0.25
1,26,38,16,4,18,7,11,0.75,0.5,1,0.5,0.75,0.75
2,0,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
2,1,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
2,2,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
2,3,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
2,4,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
2,5,17,1,4,16,9,5,0.5,0.25,0.25,0.25,0.5,0
2,6,18,2,4,19,11,8,0.5,0.75,0.75,0.75,0.5,1
2,7,20,4,4,18,10,7,0.75,0.5,0.75,0.25,1,0.5
2,8,33,7,4,13,0,9,0,0.25,0,0,0.25,0.25
2,9,35,13,4,16,5,10,0.5,0.25,0.5,0,0.75,0.25
2,10,38,16,4,18,7,11,0.75,0.5,1,0.5,0.75,0.75
2,11,39,19,5,26,17,12,0.125,0.625,0.25,0.5,0.25,0.75
2,12,40,21,5,27,15,12,0.375,0.875,0.25,1,0.25,0.75
2,13,41,22,5,25,13,9,0.125,0.375,0,0.25,0.25,0.25
2,14,42,23,5,20,14,12,0.125,0.875,0,0.75,0.25,0.75
2,15,43,24,5,22,16,10,0.625,0.375,0.5,0.25,0.75,0.25
2,16,44,25,5,24,19,12,0.375,0.625,0.5,0.75,0.25,0.75
2,17,45,26,5,21,17,9,0.375,0.375,0.25,0.5,0.25,0.25
2,18,46,27,5,23,18,11,0.625,0.625,0.75,0.5,0.75,0.75
2,19,47,28,5,21,16,4,0.375,0.375,0.5,0.25,0.5,0.5
2,20,48,29,5,23,19,4,0.625,0.625,0.5,0.75,0.5,0.5
2,21,49,30,5,24,17,4,0.375,0.625,0.25,0.5,0.5,0.5
2,22,50,31,5,22,18,4,0.625,0.375,0.75,0.5,0.5,0.5
2,23,51,32,5,20,15,3,0.125,0.875,0.25,1,0,1
2,24,52,34,5,26,14,6,0.125,0.625,0,0.75,0,0.5
2,25,53,36,5,27,19,8,0.375,0.875,0.5,0.75,0.5,1
2,26,54,37,5,25,17,6,0.125,0.375,0.25,0.5,0,0.5
2,27,55,19,5,26,6,17,0.125,0.625,0,0.5,0.25,0.5
2,28,56,21,5,27,8,15,0.375,0.875,0.5,1,0.25,1
2,29,57,22,5,25,6,13,0.125,0.375,0,0.5,0,0.25
2,30,58,23,5,20,3,14,0.125,0.875,0,1,0,0.75
2,31,59,24,5,22,4,16,0.625,0.375,0.5,0.5,0.5,0.25
