iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
0,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
0,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
0,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
0,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
0,4,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
0,5,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
0,6,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
0,7,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
0,8,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
0,9,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
0,10,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
0,11,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
0,12,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
0,13,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
0,14,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
0,15,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
1,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
1,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
1,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
1,4,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
1,5,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
1,6,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
1,7,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
1,8,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
1,9,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
1,10,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
1,11,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
1,12,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
1,13,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
1,14,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,15,17,12,4,13,10,1,1,0.25,0.75,0.25,1,0
1,16,18,12,4,13,7,10,1,0.25,1,0.5,0.75,0.25
2,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
2,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
2,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
2,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
2,4,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
2,5,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
2,6,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
2,7,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
2,8,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
2,9,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
2,10,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
2,11,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
2,12,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
2,13,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
2,14,18,12,4,13,7,10,1,0.25,1,0.5,0.75,0.25
2,15,19,5,4,14,10,5,0.75,0,0.75,0.25,0.5,0
2,16,20,17,5,15,13,10,0.875,0.125,1,0.25,0.75,0.25
2,17,21,17,5,15,1,13,0.875,0.125,1,0,1,0.25
2,18,22,5,5,15,14,1,0.875,0.125,0.75,0,1,0
2,19,23,5,5,15,10,14,0.875,0.125,0.75,0.25,0.75,0
3,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
3,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
3,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
3,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
3,4,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
3,5,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
3,6,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
3,7,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
3,8,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
3,9,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
3,10,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
3,11,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
3,12,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
3,13,18,12,4,13,7,10,1,0.25,1,0.5,0.75,0.25
3,14,19,5,4,14,10,5,0.75,0,0.75,0.25,0.5,0
3,15,20,17,5,15,13,10,0.875,0.125,1,0.25,0.75,0.25
3,16,21,17,5,15,1,13,0.875,0.125,1,0,1,0.25
3,17,22,5,5,15,14,1,0.875,0.125,0.75,0,1,0
3,18,23,5,5,15,10,14,0.875,0.125,0.75,0.25,0.75,0
3,19,24,8,4,16,11,7,1,0.75,0.75,0.75,1,0.5
3,20,25,8,4,16,2,11,1,0.75,1,1,0.75,0.75
