iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
0,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
0,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
0,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
0,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
0,4,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
0,5,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
0,6,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
0,7,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
0,8,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
0,9,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
0,10,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
0,11,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
0,12,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
0,13,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
0,14,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
0,15,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
1,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
1,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
1,3,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
1,4,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
1,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
1,6,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
1,7,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
1,8,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,9,17,2,4,17,11,8,0.5,0.75,0.75,0.75,0.5,1
1,10,18,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
1,11,19,6,4,15,12,8,0.25,1,0.25,0.75,0.5,1
1,12,20,7,4,13,9,6,0,0.25,0.25,0.25,0,0.5
1,13,21,11,4,14,12,3,0,0.75,0.25,0.75,0,1
1,14,22,14,4,17,12,4,0.5,0.75,0.25,0.75,0.5,0.5
1,15,23,15,4,16,9,4,0.25,0.5,0.25,0.25,0.5,0.5
1,16,24,2,4,17,4,11,0.5,0.75,0.5,0.5,0.75,0.75
1,17,25,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
1,18,26,6,4,15,3,12,0.25,1,0,1,0.25,0.75
1,19,27,7,4,13,0,9,0,0.25,0,0,0.25,0.25
1,20,28,11,4,14,6,12,0,0.75,0,0.5,0.25,0.75
1,21,29,14,4,17,8,12,0.5,0.75,0.5,1,0.25,0.75
1,22,30,15,4,16,6,9,0.25,0.5,0,0.5,0.25,0.25
2,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
2,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
2,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
2,3,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
2,4,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
2,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
2,6,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
2,7,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
2,8,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
2,9,17,2,4,17,11,8,0.5,0.75,0.75,0.75,0.5,1
2,10,20,7,4,13,9,6,0,0.25,0.25,0.25,0,0.5
2,11,23,15,4,16,9,4,0.25,0.5,0.25,0.25,0.5,0.5
2,12,24,2,4,17,4,11,0.5,0.75,0.5,0.5,0.75,0.75
2,13,27,7,4,13,0,9,0,0.25,0,0,0.25,0.25
2,14,30,15,4,16,6,9,0.25,0.5,0,0.5,0.25,0.25
2,15,31,18,5,20,16,12,0.125,0.625,0.25,0.5,0.25,0.75
2,16,32,19,5,21,15,12,0.375,0.875,0.25,1,0.25,0.75
2,17,33,21,5,18,14,12,0.125,0.875,0,0.75,0.25,0.75
2,18,34,22,5,19,17,12,0.375,0.625,0.5,0.75,0.25,0.75
2,19,35,25,5,19,16,4,0.375,0.625,0.25,0.5,0.5,0.5
2,20,36,26,5,18,15,3,0.125,0.875,0.25,1,0,1
2,21,37,28,5,20,14,6,0.125,0.625,0,0.75,0,0.5
2,22,38,29,5,21,17,8,0.375,0.875,0.5,0.75,0.5,1
2,23,39,18,5,20,6,16,0.125,0.625,0,0.5,0.25,0.5
2,24,40,19,5,21,8,15,0.375,0.875,0.5,1,0.25,1
2,25,41,21,5,18,3,14,0.125,0.875,0,1,0,0.75
2,26,42,22,5,19,4,17,0.375,0.625,0.5,0.5,0.5,0.75
2,27,43,25,5,19,12,16,0.375,0.625,0.25,0.75,0.25,0.5
2,28,44,26,5,18,12,15,0.125,0.875,0.25,0.75,0.25,1
2,29,45,28,5,20,12,14,0.125,0.625,0.25,0.75,0,0.75
2,30,46,29,5,21,12,17,0.375,0.875,0.25,0.75,0.5,0.75
3,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
3,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
3,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
3,3,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
3,4,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
3,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
