iteration,element,id,parent_id,level,n0,n1,n2,x0,y0,x1,y1,x2,y2
0,0,1,0,3,9,5,4,0.25,0.25,0.5,0,0.5,0.5
0,1,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
0,2,3,0,3,12,6,4,0.25,0.75,0,0.5,0.5,0.5
0,3,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
0,4,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
0,5,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
0,6,7,0,3,9,6,0,0.25,0.25,0,0.5,0,0
0,7,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
0,8,9,0,3,9,0,5,0.25,0.25,0,0,0.5,0
0,9,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
0,10,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
0,11,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
0,12,13,0,3,10,4,5,0.75,0.25,0.5,0.5,0.5,0
0,13,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
0,14,15,0,3,9,4,6,0.25,0.25,0.5,0.5,0,0.5
0,15,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
1,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
1,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
1,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
1,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
1,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
1,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
1,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
1,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
1,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
1,10,17,1,4,15,9,5,0.5,0.25,0.25,0.25,0.5,0
1,11,18,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
1,12,19,7,4,14,9,6,0,0.25,0.25,0.25,0,0.5
1,13,20,9,4,13,9,0,0.25,0,0.25,0.25,0,0
1,14,21,13,4,15,10,4,0.5,0.25,0.75,0.25,0.5,0.5
1,15,22,15,4,16,9,4,0.25,0.5,0.25,0.25,0.5,0.5
1,16,23,1,4,15,4,9,0.5,0.25,0.5,0.5,0.25,0.25
1,17,24,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
1,18,25,7,4,14,0,9,0,0.25,0,0,0.25,0.25
1,19,26,9,4,13,5,9,0.25,0,0.5,0,0.25,0.25
1,20,27,13,4,15,5,10,0.5,0.25,0.5,0,0.75,0.25
1,21,28,15,4,16,6,9,0.25,0.5,0,0.5,0.25,0.25
2,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
2,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
2,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
2,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
2,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
2,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
2,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
2,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
2,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
2,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
2,10,18,3,4,16,12,6,0.25,0.5,0.25,0.75,0,0.5
2,11,21,13,4,15,10,4,0.5,0.25,0.75,0.25,0.5,0.5
2,12,22,15,4,16,9,4,0.25,0.5,0.25,0.25,0.5,0.5
2,13,23,1,4,15,4,9,0.5,0.25,0.5,0.5,0.25,0.25
2,14,24,3,4,16,4,12,0.25,0.5,0.5,0.5,0.25,0.75
2,15,27,13,4,15,5,10,0.5,0.25,0.5,0,0.75,0.25
2,16,29,17,5,18,15,9,0.375,0.125,0.5,0.25,0.25,0.25
2,17,30,19,5,19,14,9,0.125,0.375,0,0.25,0.25,0.25
2,18,31,20,5,17,13,9,0.125,0.125,0.25,0,0.25,0.25
2,19,32,25,5,17,14,0,0.125,0.125,0,0.25,0,0
2,20,33,26,5,18,13,5,0.375,0.125,0.25,0,0.5,0
2,21,34,28,5,19,16,6,0.125,0.375,0.25,0.5,0,0.5
2,22,35,17,5,18,5,15,0.375,0.125,0.5,0,0.5,0.25
2,23,36,19,5,19,6,14,0.125,0.375,0,0.5,0,0.25
2,24,37,20,5,17,0,13,0.125,0.125,0,0,0.25,0
2,25,38,25,5,17,9,14,0.125,0.125,0.25,0.25,0,0.25
2,26,39,26,5,18,9,13,0.375,0.125,0.25,0.25,0.25,0
2,27,40,28,5,19,9,16,0.125,0.375,0.25,0.25,0.25,0.5
3,0,2,0,3,11,8,4,0.75,0.75,0.5,1,0.5,0.5
3,1,4,0,3,10,7,4,0.75,0.25,1,0.5,0.5,0.5
3,2,5,0,3,10,5,1,0.75,0.25,0.5,0,1,0
3,3,6,0,3,12,8,3,0.25,0.75,0.5,1,0,1
3,4,8,0,3,11,7,2,0.75,0.75,1,0.5,1,1
3,5,10,0,3,11,2,8,0.75,0.75,1,1,0.5,1
3,6,11,0,3,12,3,6,0.25,0.75,0,1,0,0.5
3,7,12,0,3,10,1,7,0.75,0.25,1,0,1,0.5
3,8,14,0,3,12,4,8,0.25,0.75,0.5,0.5,0.5,1
3,9,16,0,3,11,4,7,0.75,0.75,0.5,0.5,1,0.5
