iteration,basis,denominator,element,id,level,H,boundary,transition,Q_gradient,Q_energy,mass_rank,mass_condition,stiffness_hermitian_defect,mass_hermitian_defect,eigen_residual,energy_identity_error,patch_elements,patch_diameter_over_H,x,y
0,trial,patch3,0,1,3,0.5,0,0,2.6916780252648342,2.7253065063740514,13,7.0156688925376365,7.3763616389863677e-16,6.7627600666365982e-17,1.1225238737547855e-15,0,16,2.8284271247461903,0.41666666666666669,0.25
0,trial,patch3,1,2,3,0.5,0,0,2.6916780252648222,2.7253065063740372,13,7.0156688925376365,4.1353621314035089e-16,6.7627600666365982e-17,1.0266351616577909e-15,0,16,2.8284271247461903,0.58333333333333337,0.75
0,trial,patch3,2,3,3,0.5,0,0,2.6916780252648396,2.7253065063740554,13,7.0156688925376365,2.8637642965511922e-16,6.7627600666365982e-17,1.0195436074787384e-15,0,16,2.8284271247461903,0.25,0.58333333333333337
0,trial,patch3,3,4,3,0.5,0,0,2.6916780252648209,2.7253065063740385,13,7.0156688925376365,5.4869536742447847e-16,6.7627600666365982e-17,1.4615421320812422e-15,0,16,2.8284271247461903,0.75,0.41666666666666669
0,trial,patch3,4,5,3,0.5,1,0,3.1788991153214865,3.2307271007954403,13,7.0156688925376365,6.1910152853141627e-16,6.7627600666365982e-17,4.6067864952044078e-16,0,16,2.8284271247461903,0.75,0.083333333333333329
0,trial,patch3,5,6,3,0.5,1,0,3.1788991153214976,3.230727100795451,13,7.0156688925376365,4.4876369229322895e-16,6.7627600666365982e-17,4.5857524828195198e-16,0,16,2.8284271247461903,0.25,0.91666666666666663
0,trial,patch3,6,7,3,0.5,1,0,3.1788991153215171,3.2307271007954728,13,7.0156688925376365,4.4762861290575178e-16,6.7627600666365982e-17,6.3216559888332871e-16,0,16,2.8284271247461903,0.083333333333333329,0.25
0,trial,patch3,7,8,3,0.5,1,0,3.1788991153214958,3.2307271007954514,13,7.0156688925376365,1.8799283089092955e-16,6.7627600666365982e-17,1.3387601474248153e-15,0,16,2.8284271247461903,0.91666666666666663,0.75
0,trial,patch3,8,9,3,0.5,1,0,3.178899115321522,3.230727100795479,13,7.0156688925376365,2.4487743637143618e-16,6.7627600666365982e-17,1.4579377648298867e-15,0,16,2.8284271247461903,0.25,0.083333333333333329
0,trial,patch3,9,10,3,0.5,1,0,3.1788991153214918,3.2307271007954479,13,7.0156688925376365,3.4261736025152669e-16,6.7627600666365982e-17,9.1513717181679916e-16,0,16,2.8284271247461903,0.75,0.91666666666666663
0,trial,patch3,10,11,3,0.5,1,0,3.1788991153214945,3.2307271007954501,13,7.0156688925376365,2.7350873284819863e-16,6.7627600666365982e-17,6.4846187294028836e-16,0,16,2.8284271247461903,0.083333333333333329,0.75
0,trial,patch3,11,12,3,0.5,1,0,3.1788991153214852,3.2307271007954399,13,7.0156688925376365,7.0494209532585092e-16,6.7627600666365982e-17,7.7346439936394298e-16,0,16,2.8284271247461903,0.91666666666666663,0.25
0,trial,patch3,12,13,3,0.5,0,0,2.6916780252648156,2.7253065063740323,13,7.0156688925376365,5.3237837150443415e-16,6.7627600666365982e-17,9.3081621286823682e-16,0,16,2.8284271247461903,0.58333333333333337,0.25
0,trial,patch3,13,14,3,0.5,0,0,2.6916780252648183,2.7253065063740332,13,7.0156688925376365,6.7328072897946478e-16,6.7627600666365982e-17,1.8475870858969931e-15,0,16,2.8284271247461903,0.41666666666666669,0.75
0,trial,patch3,14,15,3,0.5,0,0,2.6916780252648209,2.7253065063740367,13,7.0156688925376365,5.994293687148793e-16,6.7627600666365982e-17,1.3323816599849165e-15,0,16,2.8284271247461903,0.25,0.41666666666666669
0,trial,patch3,15,16,3,0.5,0,0,2.6916780252648271,2.7253065063740429,13,7.0156688925376365,4.8490306218412628e-16,6.7627600666365982e-17,9.4381518506548699e-16,0,16,2.8284271247461903,0.75,0.58333333333333337
1,trial,patch3,0,1,3,0.5,0,1,2.6502061258466978,2.6832717686341407,14,11.342556307501633,4.2798958821122457e-16,4.2156775937118104e-17,9.837391938252903e-16,0,17,2.8284271247461903,0.41666666666666669,0.25
1,trial,patch3,1,2,3,0.5,0,0,2.6901924147935596,2.7238488858990095,14,11.342556307501633,3.7954175062309005e-16,4.2156775937118104e-17,5.7033321098880071e-16,0,17,2.8284271247461903,0.58333333333333337,0.75
1,trial,patch3,2,3,3,0.5,0,0,2.6933986717580809,2.7270584908078566,14,11.342556307501633,4.1055290230397561e-16,4.2156775937118104e-17,9.7437125181194691e-16,0,17,2.8284271247461903,0.25,0.58333333333333337
1,trial,patch3,3,4,3,0.5,0,0,2.6999800726368615,2.7340009031945773,14,11.342556307501633,3.2368989808818555e-16,4.2156775937118104e-17,2.8590464639350421e-15,0,17,2.8284271247461903,0.75,0.41666666666666669
1,trial,patch3,4,5,3,0.5,1,0,3.1842518138674114,3.2354044424766619,14,11.342556307501633,2.7353626526221661e-16,4.2156775937118104e-17,6.4418258210704144e-16,0,17,2.8284271247461903,0.75,0.083333333333333329
1,trial,patch3,5,6,3,0.5,1,0,3.1790592156547222,3.2308804593768943,14,11.342556307501633,3.3850252526316293e-16,4.2156775937118104e-17,1.2197614985513629e-15,0,17,2.8284271247461903,0.25,0.91666666666666663
1,trial,patch3,6,7,3,0.5,1,1,3.2670245878918891,3.3281098960173403,14,11.342556307501633,4.6152204662034414e-16,4.2156775937118104e-17,6.3694415310975703e-16,0,17,2.8284271247461903,0.083333333333333329,0.25
1,trial,patch3,7,8,3,0.5,1,0,3.1782270659787959,3.2300837255131536,14,11.342556307501633,6.9959688072999348e-16,4.2156775937118104e-17,6.6007048693461856e-16,0,17,2.8284271247461903,0.91666666666666663,0.75
1,trial,patch3,8,10,3,0.5,1,0,3.1783193613717642,3.230162903470704,14,11.342556307501633,6.8340769858159685e-16,4.2156775937118104e-17,7.3201613775174032e-16,0,17,2.8284271247461903,0.75,0.91666666666666663
1,trial,patch3,9,11,3,0.5,1,0,3.1790459196649707,3.2308598415290266,14,11.342556307501633,3.4823697693403008e-16,4.2156775937118104e-17,5.4496689152790004e-16,0,17,2.8284271247461903,0.083333333333333329,0.75
1,trial,patch3,10,12,3,0.5,1,0,3.1825124442697192,3.2340857244977688,14,11.342556307501633,5.3900835336887216e-16,4.2156775937118104e-17,3.9365212456741793e-16,0,17,2.8284271247461903,0.91666666666666663,0.25
1,trial,patch3,11,13,3,0.5,0,0,2.7627271573928218,2.7977291128790429,14,11.342556307501633,3.2680261817990401e-16,4.2156775937118104e-17,1.9994416913156197e-15,0,17,2.8284271247461903,0.58333333333333337,0.25
1,trial,patch3,12,14,3,0.5,0,0,2.6915919647510167,2.7252490448726703,14,11.342556307501633,2.5889078633477194e-16,4.2156775937118104e-17,1.3690243099463284e-15,0,17,2.8284271247461903,0.41666666666666669,0.75
1,trial,patch3,13,15,3,0.5,0,0,2.6233083630052665,2.6558451545450104,14,11.342556307501633,7.6040112406110129e-16,4.2156775937118104e-17,1.1856844424975642e-15,0,17,2.8284271247461903,0.25,0.41666666666666669
1,trial,patch3,14,16,3,0.5,0,0,2.6899418890039191,2.7235965067710142,14,11.342556307501633,6.1863620354666748e-16,4.2156775937118104e-17,1.8487082040779044e-15,0,17,2.8284271247461903,0.75,0.58333333333333337
1,trial,patch3,15,17,4,0.35355339059327379,1,1,3.5228958574338072,3.5456888582084884,14,11.342556307501633,2.007182215016282e-16,4.2156775937118104e-17,1.7305900234539174e-15,0,17,4,0.16666666666666666,0.083333333333333329
1,trial,patch3,16,18,4,0.35355339059327379,1,1,3.1941742362055585,3.2234782664682147,14,11.342556307501633,3.5869708253479658e-16,4.2156775937118104e-17,9.1278337925118976e-16,0,17,4,0.33333333333333331,0.083333333333333329
2,trial,patch3,0,1,3,0.5,0,1,2.7402520735298208,2.774437636475894,16,26.353437733571088,5.8960268399895017e-16,5.0951287385320126e-17,1.9639527913071628e-15,0,20,2.8284271247461903,0.41666666666666669,0.25
2,trial,patch3,1,2,3,0.5,0,0,2.6905210300041067,2.7241561958398792,16,26.353437733571088,6.3080261550276298e-16,5.0951287385320126e-17,1.9822768673615033e-15,0,20,2.8284271247461903,0.58333333333333337,0.75
2,trial,patch3,2,3,3,0.5,0,0,2.7601034456759237,2.7950618244638541,16,26.353437733571088,6.0864070925868319e-16,5.0951287385320126e-17,1.8171176577264238e-15,0,20,2.8284271247461903,0.25,0.58333333333333337
2,trial,patch3,3,4,3,0.5,0,0,2.7010205481769951,2.7349917084934305,16,26.353437733571088,6.2141967011783926e-16,5.0951287385320126e-17,1.3179919553307538e-15,0,20,2.8284271247461903,0.75,0.41666666666666669
2,trial,patch3,4,5,3,0.5,1,0,3.1844774230350565,3.235619932544096,16,26.353437733571088,2.7125982494972321e-16,5.0951287385320126e-17,5.9159514146691424e-16,0,20,2.8284271247461903,0.75,0.083333333333333329
2,trial,patch3,5,6,3,0.5,1,0,3.1826677829338226,3.234236070995999,16,48.16502760709357,6.0543839929512382e-16,5.0490490148521758e-17,4.2748512009361325e-16,0,19,2.8284271247461903,0.25,0.91666666666666663
2,trial,patch3,6,8,3,0.5,1,0,3.178977972562874,3.2308346186787444,16,18549.862859483565,5.2065182146740273e-16,5.0455930611520928e-17,1.1473138406662116e-15,0,18,2.8284271247461903,0.91666666666666663,0.75
2,trial,patch3,7,10,3,0.5,1,0,3.1789779725628731,3.2308346186787431,16,18549.862859483565,5.7133273650843266e-16,5.0455930611520928e-17,7.399051830098912e-16,0,18,2.8284271247461903,0.75,0.91666666666666663
2,trial,patch3,8,11,3,0.5,1,0,3.1844774230350184,3.2356199325440551,16,26.353437733571088,6.1977717042807251e-16,5.0951287385320126e-17,1.2067173907614982e-15,0,20,2.8284271247461903,0.083333333333333329,0.75
2,trial,patch3,9,12,3,0.5,1,0,3.1826677829339269,3.234236070996106,16,48.165027607092327,8.5280408515353346e-16,5.0454883688255778e-17,6.0185657840754602e-16,0,19,2.8284271247461903,0.91666666666666663,0.25
2,trial,patch3,10,13,3,0.5,0,0,2.7601034456759135,2.7950618244638443,16,26.353437733571088,3.2470876655004796e-16,5.0951287385320126e-17,9.0181832998284211e-16,0,20,2.8284271247461903,0.58333333333333337,0.25
2,trial,patch3,11,14,3,0.5,0,0,2.7010205481769973,2.734991708493435,16,26.353437733571088,3.7995936977341581e-16,5.0951287385320126e-17,9.0274185256285724e-16,0,20,2.8284271247461903,0.41666666666666669,0.75
2,trial,patch3,12,15,3,0.5,0,1,2.7402520735298506,2.774437636475922,16,26.353437733571088,3.9024308039869493e-16,5.0951287385320126e-17,1.6567510368479153e-15,0,20,2.8284271247461903,0.25,0.41666666666666669
2,trial,patch3,13,16,3,0.5,0,0,2.6905210300041023,2.724156195839873,16,26.353437733571088,5.31108795084359e-16,5.0951287385320126e-17,1.0833499471969857e-15,0,20,2.8284271247461903,0.75,0.58333333333333337
2,trial,patch3,14,18,4,0.35355339059327379,1,1,3.0516979396808521,3.0790554676722519,16,26.353437733571088,3.1340737307395698e-16,5.0951287385320126e-17,1.7037749259668819e-15,0,20,4,0.33333333333333331,0.083333333333333329
2,trial,patch3,15,19,4,0.35355339059327379,1,1,3.0516979396807686,3.0790554676721702,16,26.353437733571088,3.9120620403754315e-16,5.0951287385320126e-17,2.003875201750793e-15,0,20,4,0.083333333333333329,0.33333333333333331
2,trial,patch3,16,20,5,0.25,0,1,2.6684193529355129,2.6774885225107861,16,26.353437733571088,5.2636960456587671e-16,5.0951287385320126e-17,4.068536016816663e-16,0,20,5.6568542494923806,0.20833333333333334,0.125
