H_level,h_level,ell,k,kH,coarse_dofs,fine_dofs,subdomains,min_local_dofs,max_local_dofs,build_ms,fine_lu_ms,lod_solve_ms,setup_ms,status,outer_iterations,outer_solve_ms,true_residual,petrov_residual,energy_rel,fine_rel,exact_energy,exact_l2,exact_energy_rel,exact_l2_rel,lod_petrov,lod_energy_rel,lod_exact_energy,lod_exact_l2,lod_exact_energy_rel,lod_exact_l2_rel,corrector_residual,constraint_residual,benchmark_total_ms,wall_seconds,max_rss_kb
5,9,3,4,1,41,545,64,230,495,43.5207,1.65563,0.129239,18.5288,converged,7,8.63108,3.44116e-11,1.0918e-12,5.02236e-12,1.49829e-12,0.303876,0.00590306,0.0999316,0.0145271,3.49033e-15,0.156317,0.563081,0.0236342,0.185173,0.0581623,7.52546e-16,2.43603e-16,75.3125,0.07,60856
7,11,3,8,1,145,2113,256,230,697,203.191,7.17231,0.600439,111.943,converged,8,44.6981,9.95333e-12,2.29453e-13,6.81144e-13,2.53686e-13,0.3048,0.00460324,0.0608406,0.0113283,1.90137e-14,0.0497688,0.394973,0.00766236,0.0788399,0.0188566,8.95671e-16,2.30927e-16,378.328,0.38,236468
9,13,3,16,1,545,8321,1024,230,697,1037.95,52.8837,11.0116,610.73,converged,9,251.369,5.08304e-12,1.4856e-13,2.11254e-13,1.48198e-13,0.462692,0.0066053,0.0491825,0.0162552,5.34885e-14,0.0180306,0.494777,0.00711662,0.0525929,0.0175136,8.95671e-16,3.12021e-16,1999.32,2.04,941848
5,10,3,4,1,41,1089,64,476,999,83.7791,3.36949,0.301432,42.2172,converged,8,20.2984,3.27584e-12,3.45228e-14,2.99623e-13,5.63993e-14,0.208842,0.00284303,0.0686791,0.00699652,6.47102e-15,0.160211,0.52941,0.0228852,0.1741,0.056319,1.03195e-15,3.08186e-16,156.01,0.16,117516
7,12,3,8,1,145,4225,256,476,1449,552.667,18.4488,1.00319,289.542,converged,8,117.153,3.527e-11,7.88978e-13,1.60121e-12,8.07266e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,997.184,1.01,496408
9,14,3,16,1,545,16641,1024,476,1449,2818.84,157.235,6.71244,1444.09,converged,9,623.336,4.50169e-11,9.28591e-13,1.25597e-12,9.44174e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,5113.33,3.07,2000120
5,11,3,4,1,41,2113,64,924,1951,243.224,9.83842,1.41273,108.81,converged,8,54.0603,8.91409e-12,4.98338e-14,7.38454e-13,1.11072e-13,0.152095,0.00148716,0.0500175,0.0036598,9.42694e-15,0.164139,0.521469,0.0230255,0.171488,0.0566643,1.71498e-15,4.73745e-16,428.729,0.43,248700
7,13,3,8,1,145,8321,256,924,2897,1712.17,52.8365,3.21102,770.167,converged,8,364.848,9.13097e-11,1.59215e-12,3.52239e-12,1.62011e-12,0.151285,0.00115786,0.0301978,0.00284941,1.9582e-14,0.0534127,0.307844,0.00589056,0.0614483,0.0144963,2.191e-15,3.22934e-16,2945.25,2.98,1106468
9,15,3,16,1,545,33025,1024,924,2897,9206.8,446.538,10.5943,3923.54,converged,9,1808.45,7.17711e-11,2.84418e-13,1.13091e-12,3.14141e-13,0.223064,0.0016627,0.0237108,0.0040918,3.72363e-14,0.0194972,0.289797,0.00267926,0.0308043,0.0065935,2.191e-15,3.46501e-16,15526.4,15.67,4538872
7,12,2,8,1,145,4225,256,248,697,227.18,19.9392,0.967995,138.47,converged,9,69.3524,7.25186e-11,8.58515e-13,2.87797e-12,8.94619e-13,0.197005,0.00203764,0.0393238,0.00501452,1.61423e-14,0.0524043,0.328903,0.00618653,0.0656517,0.0152247,1.00421e-15,2.691e-16,474.174,0.48,249212
7,12,4,8,1,145,4225,256,768,2408,1173.44,20.9373,2.03876,531.919,converged,7,233.829,9.77492e-11,1.88398e-12,4.30901e-12,1.93357e-12,0.197005,0.00203764,0.0393238,0.00501452,2.67104e-14,0.0516816,0.325941,0.00610027,0.0650606,0.0150124,1.51998e-15,3.9532e-16,1985.91,2.02,831808
