source,solver,boundary,local_solver,local_inverse,outer_tol,outer_restart,outer_max_iters,threads,H_level,h_level,ell,k,kH,coarse_dofs,fine_dofs,subdomains,min_local_dofs,max_local_dofs,build_ms,fine_lu_ms,lod_solve_ms,setup_ms,status,outer_iterations,outer_solve_ms,true_residual,petrov_residual,energy_rel,fine_rel,exact_energy,exact_l2,exact_energy_rel,exact_l2_rel,lod_petrov,lod_energy_rel,lod_exact_energy,lod_exact_l2,lod_exact_energy_rel,lod_exact_l2_rel,corrector_residual,constraint_residual,benchmark_total_ms,wall_seconds,max_rss_kb
manufactured,identity,dirichlet,direct,lu,1e-10,50,4000,8,5,10,3,4,1,41,1089,64,476,999,87.8385,3.71663,0.480517,47.6388,converged,466,66.9335,9.8155e-11,1.233e-10,2.42689e-10,3.32686e-10,0.208842,0.00284303,0.0686791,0.00699651,6.47102e-15,0.160211,0.52941,0.0228852,0.1741,0.056319,1.03195e-15,3.08186e-16,213.664,0.22,113764
manufactured,identity,dirichlet,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,476,1449,551.807,21.6087,2.17095,276.547,converged,1285,679.037,9.95658e-11,1.06382e-10,1.96606e-10,2.10612e-10,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1554.69,1.57,490396
manufactured,identity,dirichlet,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,476,1449,2718.71,157.986,6.51831,1378.59,converged,2750,7533.72,9.87533e-11,9.88869e-11,1.59012e-10,1.63911e-10,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,11870.5,9.32,1966728
manufactured,local,dirichlet,direct,lu,1e-10,50,4000,8,5,10,3,4,1,41,1089,64,476,999,82.6474,3.71947,0.349095,44.8819,converged,11,21.3638,9.83149e-11,5.17026e-12,1.01672e-11,4.47216e-12,0.208842,0.00284303,0.0686791,0.00699652,6.47102e-15,0.160211,0.52941,0.0228852,0.1741,0.056319,1.03195e-15,3.08186e-16,158.372,0.16,113380
manufactured,local,dirichlet,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,476,1449,572.791,18.7507,2.17899,286.896,converged,20,219.004,2.40751e-11,9.61928e-13,1.21389e-12,7.90284e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1118.28,1.13,495808
manufactured,local,dirichlet,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,476,1449,2931.06,148.672,14.0511,1440.16,converged,51,2827.82,6.58349e-11,6.21354e-12,6.28667e-12,5.98636e-12,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,7432.15,7.50,1967044
manufactured,additive,dirichlet,direct,lu,1e-10,50,4000,8,5,10,3,4,1,41,1089,64,476,999,89.2751,3.04352,0.358359,47.8825,converged,15,42.7174,8.23668e-12,1.96265e-12,1.67706e-12,1.54849e-12,0.208842,0.00284303,0.0686791,0.00699652,6.47102e-15,0.160211,0.52941,0.0228852,0.1741,0.056319,1.03195e-15,3.08186e-16,188.355,0.19,112404
manufactured,additive,dirichlet,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,476,1449,549.419,19.8425,2.77833,275.838,converged,18,234.409,2.56042e-11,3.14912e-12,1.98986e-12,1.70814e-12,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1096.52,1.11,492728
manufactured,additive,dirichlet,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,476,1449,3068.88,151.4,12.2658,1521.82,converged,22,1397.2,4.29321e-11,5.45863e-12,1.31175e-12,8.73957e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,6222.55,6.29,1968684
manufactured,hybrid,dirichlet,direct,lu,1e-10,50,4000,8,5,10,3,4,1,41,1089,64,476,999,90.6064,2.97478,0.625904,47.3499,converged,8,27.2314,3.27601e-12,3.52859e-14,2.99714e-13,5.69771e-14,0.208842,0.00284303,0.0686791,0.00699652,6.47102e-15,0.160211,0.52941,0.0228852,0.1741,0.056319,1.03195e-15,3.08186e-16,172.6,0.17,113880
manufactured,hybrid,dirichlet,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,476,1449,589.775,18.8972,1.7411,273.376,converged,8,124.265,3.52705e-11,7.90408e-13,1.60184e-12,8.08428e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1025.51,1.06,492112
manufactured,hybrid,dirichlet,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,476,1449,3553.85,150.844,4.94371,1591.43,converged,9,627.712,4.5016e-11,9.2812e-13,1.25589e-12,9.44052e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,5999.68,6.07,1970788
