source,solver,boundary,extension,impedance_beta,local_solver,local_inverse,outer_tol,outer_restart,outer_max_iters,threads,H_level,h_level,ell,k,kH,coarse_dofs,fine_dofs,subdomains,min_local_dofs,max_local_dofs,min_owned_dofs,max_owned_dofs,build_ms,fine_lu_ms,lod_solve_ms,setup_ms,status,outer_iterations,outer_solve_ms,true_residual,petrov_residual,energy_rel,fine_rel,exact_energy,exact_l2,exact_energy_rel,exact_l2_rel,lod_petrov,lod_energy_rel,lod_exact_energy,lod_exact_l2,lod_exact_energy_rel,lod_exact_l2_rel,corrector_residual,constraint_residual,benchmark_total_ms,wall_seconds,max_rss_kb
manufactured,hybrid,dirichlet,weighted,1,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,476,1449,476,1449,582.268,20.2261,1.09834,282.512,converged,8,107.73,3.52692e-11,7.89914e-13,1.60162e-12,8.08066e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1010.44,1.03,486188
manufactured,hybrid,impedance,weighted,4,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,509,1561,532.846,18.0659,1.04607,308.195,converged,15,246.587,8.18159e-11,1.69831e-12,3.97212e-12,1.78447e-12,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1124.48,1.14,532832
manufactured,hybrid,impedance,restricted,1,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,533.892,20.103,1.01527,302.522,failed,4000,64537.4,0.465483,0.189806,0.190582,0.189704,0.984809,0.0781641,0.196576,0.192357,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,65412,60.37,527512
manufactured,hybrid,impedance,restricted,2,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,522.302,17.7643,1.02079,297.325,failed,4000,66183.5,0.123919,0.00631737,0.0083843,0.00638518,0.201884,0.0035092,0.0402978,0.00863591,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,67037.3,61.95,529712
manufactured,hybrid,impedance,restricted,4,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,532.345,20.2251,1.11974,299.601,converged,276,4328.7,9.19506e-11,7.11546e-14,4.08058e-12,6.70411e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,5205.73,5.22,525360
manufactured,hybrid,impedance,restricted,8,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,526.981,18.3185,7.75143,298.121,converged,74,1110.05,8.75939e-11,8.2538e-14,3.90347e-12,6.48908e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1979.97,1.99,533332
manufactured,hybrid,impedance,restricted,16,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,513.573,18.3889,1.02911,301.324,converged,37,583.558,5.34974e-11,3.41317e-13,2.41182e-12,5.24192e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1438.48,1.45,531408
manufactured,hybrid,impedance,restricted,32,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,548.411,18.3772,1.25014,312.672,converged,25,394.298,6.94191e-11,6.82439e-13,3.17418e-12,8.66357e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1291.53,1.31,525388
manufactured,hybrid,impedance,restricted,64,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,556.9,20.0827,0.994966,321.686,converged,22,366.683,4.14731e-11,1.53865e-13,1.85093e-12,3.29737e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1283.78,1.30,535252
manufactured,hybrid,impedance,restricted,128,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,9,25,550.83,18.087,1.95773,302.234,converged,21,320.676,6.35365e-11,1.80781e-13,2.85118e-12,4.95917e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1215.88,1.23,536432
manufactured,hybrid,dirichlet,restricted,1,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,476,1449,9,25,550.876,19.3975,1.29933,281.042,converged,21,302.458,4.6113e-11,5.99517e-13,2.13291e-12,6.76641e-13,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1173.4,1.19,490664
manufactured,hybrid,dirichlet,weighted,1,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,476,1449,476,1449,2855.26,151.683,11.4012,1579.71,converged,9,673.885,4.50164e-11,9.28501e-13,1.25604e-12,9.44253e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,5339.2,5.43,1975312
manufactured,hybrid,dirichlet,restricted,1,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,476,1449,9,25,3707.46,157.491,7.86081,1538.06,converged,41,2592.12,6.45188e-11,1.41259e-13,1.35676e-12,2.55316e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,8067.22,8.13,1979756
manufactured,hybrid,impedance,restricted,16,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,509,1561,9,25,3187.25,161.846,4.73986,2225.27,converged,74,6360.26,9.75904e-11,3.73265e-14,2.05004e-12,3.18476e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,12017.2,12.11,2200256
manufactured,hybrid,impedance,restricted,64,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,509,1561,9,25,3289.81,159.486,9.72565,1912.87,converged,42,3600.01,8.85228e-11,2.85525e-13,1.87528e-12,4.07201e-13,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,9040.27,9.12,2198260
manufactured,additive,impedance,weighted,4,direct,lu,1e-10,50,4000,8,7,12,3,8,1,145,4225,256,509,1561,509,1561,551.94,18.0273,1.2499,306,converged,22,321.035,5.10906e-11,8.75309e-12,4.94188e-12,4.13766e-12,0.197005,0.00203764,0.0393238,0.00501452,1.06865e-14,0.0517112,0.326063,0.00610152,0.0650848,0.0150155,1.17499e-15,3.06548e-16,1215.47,1.23,533348
manufactured,additive,impedance,weighted,4,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,509,1561,509,1561,2768.89,157.945,4.54552,1628.51,converged,25,1692.7,9.49312e-11,1.51264e-11,4.61574e-12,3.78742e-12,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,6318.28,3.86,2201244
manufactured,hybrid,impedance,weighted,4,direct,lu,1e-10,50,4000,8,9,14,3,16,1,545,16641,1024,509,1561,509,1561,3252.76,160.428,9.07974,1699.99,converged,16,1349.26,5.52239e-11,1.89663e-12,2.20964e-12,1.91087e-12,0.268521,0.00240838,0.0285428,0.00592687,5.27426e-14,0.0188232,0.322835,0.00322284,0.0343162,0.00793121,1.68619e-15,3.06206e-16,6537.01,6.61,2192980
