case,run,reuse,subdomains,solver_groups,reused_factorizations,max_reuse_group,setup_ms,outer_iterations,solve_ms,true_residual,energy_rel,benchmark_total_ms,wall_seconds,max_rss_kb
H3_h7,1,identical,16,9,7,8,2.308,6,1.80385,7.61125e-11,2.26923e-11,10.5834,0.01,11464
H3_h7,1,none,16,16,0,1,1.59146,6,0.668226,7.61125e-11,2.26923e-11,6.82564,0.00,12112
H5_h10,1,identical,64,36,28,2,41.3235,8,15.9728,5.39091e-12,4.52637e-13,143.36,0.15,92768
H5_h10,1,none,64,64,0,1,36.9943,8,17.1084,5.39073e-12,4.5265e-13,134.299,0.14,116540
H7_h12,1,identical,256,75,181,8,215.787,8,102.788,3.52699e-11,1.60238e-12,884.913,0.89,288804
H7_h12,2,identical,256,75,181,8,191.058,8,77.9441,3.52702e-11,1.60227e-12,790.778,0.80,292412
H7_h12,3,identical,256,75,181,8,194.644,8,87.7064,3.52701e-11,1.60183e-12,846.213,0.85,289552
H7_h12,1,none,256,256,0,1,245.524,8,105.864,3.52705e-11,1.6021e-12,853.021,0.87,494296
H7_h12,2,none,256,256,0,1,237.781,8,103.052,3.527e-11,1.60199e-12,847.217,0.86,500000
H7_h12,3,none,256,256,0,1,227.466,8,102.485,3.52696e-11,1.6021e-12,839.697,0.85,500944
H9_h14,1,identical,1024,166,858,16,1085.98,9,429.334,4.50169e-11,1.25618e-12,4597.09,4.62,823180
H9_h14,1,none,1024,1024,0,1,1519.71,9,780.838,4.50171e-11,1.25679e-12,4988.82,5.06,2010232
